SubjectID,StimID,CueText,FreeResponse,RT_ms,TrialIndex,alnum_len,svg_z_all_dec,svg_z_inter_dec,low_n_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,dec_total_correct,q1_accuracy,q2_accuracy,svg_z_inter_dec_z,svg_z_all_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z,alnum_len_centred,svg_z_inter_dec_centred,svg_z_all_dec_centred
Encode-Decode_Experiment-2-1,2412687,dog,amanandadogwereataparkandtemnwasholdingaredfrisbeloetothedogsmouthwholookedlikwasreadyobiteontothefrisbee,49099,23,105.0,-0.804365,-0.744874,False,16,1.0,0.233544,1.0,1.0,0.0,-0.4758092230754132,-0.7395923007944881,0.8507248651828327,0.3463476661518187,0.39970635774517116,16.631578947368425,-0.6567808888888889,-0.7383482727272728
Encode-Decode_Experiment-2-1,2345035,football,twoyounggirlswhthenumbers20and3onthebackwererunningclosetoafootball,25284,25,67.0,,,False,6,1.0,0.232226,1.0,0.0,1.0,,,-1.8837479157619872,0.3463476661518187,0.38967485229988696,-21.368421052631575,,
Encode-Decode_Experiment-9-1,2411268,apple,a{SPACE}blonde{SPACE}girl{SPACE}reaching{SPACE}for{SPACE}a{SPACE}green{SPACE}apple{SPACE}at{SPACE}head{SPACE}height{.}{SPACE}{CAPSLOCK}S{CAPSLOCK}he{SPACE}is{SPACE}carrying{SPACE}a{SPACE}red{SPACE}bag{SPACE}and{SPACE}is{SPACE}surrounded{SPACE}by{SPACE}trees{SPACE}{ENTER},53936,1,218.0,-1.08704,0.016638,False,10,1.0,0.1188,1.0,1.0,0.0,-0.10974249566234798,-0.9409780814162759,-0.7899588033840592,0.3463476661518187,-0.4736282862712741,-126.9230769230769,-0.4780599166666668,-1.5147784117647058
Encode-Decode_Experiment-9-1,2412687,dog,{CAPSLOCK}A{SPACE}{CAPSLOCK}brown{SPACE}dog{SPACE}is{SPACE}about{SPACE}to{SPACE}bite{SPACE}a{SPACE}red{SPACE}frisbee{.}{SPACE}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}T{CAPSLOCK}he{SPACE}owner{SPACE}who{SPACE}is{SPACE}white{SPACE}with{SPACE}brown{SPACE}hair{SPACE}is{SPACE}giving{SPACE}it{SPACE}to{SPACE}him{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}in{SPACE}a{SPACE}garden{SPACE}at{SPACE}night{.}{ENTER},53880,2,309.0,1.195935,,False,15,1.0,0.022659,2.0,1.0,1.0,,0.6854788125963751,0.5772775870883508,0.3463476661518187,-1.2053725692872492,-35.923076923076906,,0.7681965882352941
Encode-Decode_Experiment-9-1,2387122,polar bear,a{SPACE}polar{SPACE}bear{SPACE}is{SPACE}putting{SPACE}its{SPACE}paw{SPACE}on{SPACE}a{SPACE}glass{SPACE}barrier{.}{SPACE}a{SPACE}blonde{SPACE}woman{SPACE}is{SPACE}holding{SPACE}a{SPACE}camera{SPACE}and{SPACE}taking{SPACE}a{SPACE}photo{SPACE}of{SPACE}the{SPACE}polar{SPACE}bear{.}{SPACE}{CAPSLOCK}{CAPSLOCK}behind{SPACE}the{SPACE}bear{SPACE}is{SPACE}rocks{SPACE}and{SPACE}some{SPACE}green{SPACE}patch{.}{ENTER},69611,3,325.0,0.031662,,False,16,0.875,0.161063,2.0,1.0,1.0,,-0.14398267838043863,0.8507248651828327,-1.4945345242516337,-0.15195794132890647,-19.923076923076906,,-0.39607641176470587
Encode-Decode_Experiment-9-1,2347400,wine,2{SPACE}men{SPACE}are{SPACE}sat{SPACE}on{SPACE}a{SPACE}couch{SPACE}smelling{SPACE}wine{SPACE}near{SPACE}their{SPACE}noses{.}{SPACE}the{SPACE}couch{SPACE}is{SPACE}white{SPACE}and{SPACE}they{SPACE}are{SPACE}in{SPACE}a{SPACE}living{SPACE}room{.}{SPACE}both{SPACE}men{SPACE}are{SPACE}white{SPACE}and{SPACE}young{SPACE}and{SPACE}have{SPACE}brown{SPACE}hair{.}{SPACE}the{SPACE}man{SPACE}on{SPACE}the{SPACE}left{SPACE}is{SPACE}wearing{SPACE}a{SPACE}blue{SPACE}shirt{.}{SPACE}the{SPACE}wine{SPACE}is{SPACE}red{.}{SPACE}its{SPACE}night{SPACE}time{.}{ENTER},60290,4,429.0,-0.942034,-0.612701,False,12,1.0,0.110346,2.0,1.0,1.0,-0.41227228923541187,-0.8376716464473436,-0.2430642471950952,0.3463476661518187,-0.5379730108800993,84.0769230769231,-1.107398916666667,-1.3697724117647059
Encode-Decode_Experiment-9-1,2367132,video game,3{SPACE}people{SPACE}are{SPACE}in{SPACE}a{SPACE}living{SPACE}room{.}{SPACE}one{SPACE}is{SPACE}a{SPACE}young{SPACE}girl{SPACE}who{SPACE}is{SPACE}lying{SPACE}on{SPACE}a{SPACE}sofa{.}{SPACE}the{SPACE}other{SPACE}two{SPACE}are{SPACE}both{SPACE}men{SPACE}playing{SPACE}a{SPACE}video{SPACE}game{.}{SPACE}the{SPACE}controllers{SPACE}are{SPACE}white{SPACE}and{SPACE}in{SPACE}both{SPACE}hands{SPACE}of{SPACE}both{SPACE}men{.}{SPACE}they{SPACE}are{SPACE}pulling{SPACE}karate{SPACE}poses{.}{ENTER},58444,5,383.0,1.202613,1.1704,False,15,1.0,0.114203,2.0,1.0,1.0,0.44488288063317055,0.690236411404166,0.5772775870883508,0.3463476661518187,-0.5086167768114644,38.076923076923094,0.6757020833333334,0.7748745882352941
Encode-Decode_Experiment-9-1,2410309,laptop,a{SPACE}woman{SPACE}and{SPACE}a{SPACE}child{SPACE}are{SPACE}sat{SPACE}on{SPACE}a{SPACE}sofa{SPACE}both{SPACE}with{SPACE}laptops{.}{SPACE}the{SPACE}child{SPACE}has{SPACE}its{SPACE}hand{SPACE}on{SPACE}the{SPACE}touch{SPACE}pad{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}sat{SPACE}towards{SPACE}the{SPACE}camera{SPACE}also{SPACE}on{SPACE}a{SPACE}laoptop{.}{SPACE}the{SPACE}child{SPACE}has{SPACE}blonde{SPACE}hair{.}{SPACE}the{SPACE}wall{SPACE}behind{SPACE}them{SPACE}is{SPACE}white{.}{ENTER},82761,6,382.0,0.203117,0.838925,False,18,1.0,0.133499,2.0,1.0,1.0,0.2855394054558315,-0.021833216926441495,1.3976194213717967,0.3463476661518187,-0.36175188373695655,37.076923076923094,0.34422708333333324,-0.2246214117647059
Encode-Decode_Experiment-9-1,2394020,horse ride,two{SPACE}men{SPACE}on{SPACE}two{SPACE}seperate{SPACE}horses{SPACE}are{SPACE}riding{SPACE}on{SPACE}a{SPACE}beach{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}wearing{SPACE}shirts{SPACE}and{SPACE}cowboy{SPACE}hats{SPACE}and{SPACE}the{SPACE}sun{SPACE}appears{SPACE}to{SPACE}be{SPACE}starting{SPACE}to{SPACE}set{.}{SPACE}the{SPACE}sea{SPACE}is{SPACE}coming{SPACE}in{SPACE}towards{SPACE}them{.}{SPACE}one{SPACE}horse{SPACE}is{SPACE}mostly{SPACE}brown{SPACE}with{SPACE}white{SPACE}patches{SPACE}and{SPACE}the{SPACE}other{SPACE}horse{SPACE}is{SPACE}mostly{SPACE}white{SPACE}with{SPACE}brown{SPACE}patches{.}{ENTER},73921,7,486.0,0.907494,-2.01876,False,18,1.0,0.315087,2.0,1.0,1.0,-1.088179453770819,0.47998516813425746,1.3976194213717967,0.3463476661518187,1.0203429651236222,141.0769230769231,-2.513457916666667,0.47975558823529413
Encode-Decode_Experiment-9-1,2356991,baseball,"on{SPACE}a{SPACE}baseball{SPACE}field{,}{SPACE}one{SPACE}man{SPACE}wearing{SPACE}a{SPACE}glove{SPACE}is{SPACE}about{SPACE}to{SPACE}catch{SPACE}the{SPACE}baseball{.}{SPACE}another{SPACE}man{SPACE}is{SPACE}sliding{SPACE}headfirst{SPACE}towards{SPACE}a{SPACE}post{.}{SPACE}the{SPACE}glove{SPACE}is{SPACE}red{.}{SPACE}its{SPACE}daytime{SPACE}and{SPACE}the{SPACE}sky{SPACE}is{SPACE}blue{ENTER}",46331,8,308.0,,,False,14,0.9286,0.035924,2.0,1.0,1.0,,,0.30383030899386876,-0.7051642410066336,-1.1044105664559194,-36.923076923076906,,
