SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,SaccStart_ms,SaccEnd_ms,Duration_ms,StartX,StartY,EndX,EndY,PeakVelocity
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,178,246,68,1788.2,459.3,1095.8,373.7,504.9
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,406,448,42,1113.7,382.2,1076.6,249.3,348.8
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,650,724,74,1072.4,215.2,1074.5,956.1,654.1
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,944,1022,78,1077.8,942.9,1077.8,200.3,601.8
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,1188,1250,62,1089.8,212.8,644.1,219.3,408.0
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,1548,1624,76,643.2,221.9,1131.0,568.1,403.1
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,1820,1870,50,1130.2,565.9,1059.7,915.9,553.3
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,2114,2186,72,1049.0,940.2,1204.2,360.6,547.1
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,2408,2456,48,1204.0,362.8,1071.4,206.5,361.8
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,2820,2892,72,1053.3,181.8,1110.6,888.8,555.4
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,3096,3156,60,1108.4,908.8,1206.2,380.6,550.6
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,3366,3412,46,1211.2,351.5,1054.8,194.3,387.7
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,3650,3714,64,1038.8,175.4,1109.6,846.8,609.6
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,3906,3986,80,1095.1,868.9,979.9,183.0,552.3
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,4158,4208,50,987.5,194.3,641.3,237.9,365.3
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,4620,4700,80,622.9,229.5,1080.1,752.9,438.6
Encode-Decode_Experiment-22-1,2397102,cake,encoding,1,1,4914,4980,66,1087.4,775.4,1198.7,278.9,554.0
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,5282,5320,38,996.0,529.5,1304.0,340.5,345.6
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,5460,5484,24,1313.6,336.6,1377.1,458.5,266.7
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,5610,5672,62,1376.6,458.4,899.1,477.4,403.3
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,5808,5860,52,908.2,488.1,1357.4,487.2,374.0
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,5988,6064,76,1383.5,482.7,584.3,692.2,545.7
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,6304,6326,22,594.1,686.3,488.9,638.8,168.7
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,6440,6496,56,498.8,647.6,1368.6,289.4,544.9
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,6744,6810,66,1386.4,293.5,851.8,494.7,433.8
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,7016,7032,16,863.7,494.4,893.1,460.4,90.9
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,7788,7820,32,878.6,453.7,970.4,521.0,170.5
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,7974,7998,24,981.9,516.8,890.0,440.1,211.5
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,8884,8896,12,881.9,442.9,920.7,452.4,66.7
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,9240,9278,38,924.8,448.0,929.9,514.2,117.3
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,9430,9478,48,923.8,509.0,1310.7,480.5,274.3
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,2,2,9782,9818,36,1328.9,481.1,903.1,459.3,393.0
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,10380,10418,38,1010.6,519.6,1389.2,345.8,357.0
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,10600,10652,52,1395.7,354.0,934.4,487.9,422.2
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,10996,11050,54,913.1,491.1,1347.5,463.2,317.8
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,11256,11306,50,1368.6,463.1,1051.4,545.9,393.2
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,11550,11572,22,1019.5,549.6,911.5,481.4,200.1
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,12108,12136,28,897.6,478.6,1125.3,509.8,272.1
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,12420,12454,34,1136.9,512.7,1333.2,309.3,300.7
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,12684,12704,20,1351.4,310.1,1330.3,248.5,137.3
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,13040,13104,64,1333.1,271.5,1005.4,507.7,362.6
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,13360,13384,24,1011.0,501.1,863.7,466.2,200.6
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,13656,13686,30,880.6,473.2,621.4,607.5,322.2
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,14000,14050,50,635.5,603.1,929.1,619.5,271.6
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,14258,14284,26,934.6,638.2,888.4,462.8,312.3
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,14738,14748,10,892.8,482.7,871.0,465.6,57.7
Encode-Decode_Experiment-22-1,2356991,baseball,encoding,3,3,15002,15054,52,885.7,468.4,778.6,630.0,283.4
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,15462,15482,20,1001.6,524.2,997.8,434.1,181.8
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,15622,15662,40,1002.3,448.5,822.2,526.3,263.2
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,15878,15930,52,797.8,534.6,979.8,317.8,324.7
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,16276,16330,54,973.8,299.8,853.7,565.9,333.3
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,16718,16740,22,844.6,581.4,738.4,595.0,149.5
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,17298,17344,46,747.5,595.2,978.8,784.8,237.1
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,17676,17734,58,974.1,798.1,695.1,481.3,390.0
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,18114,18186,72,687.9,462.2,1358.3,344.8,311.4
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,18476,18512,36,1392.4,346.8,1705.9,380.6,314.8
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,18890,18958,68,1705.8,390.7,844.8,361.0,480.7
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,19244,19274,30,826.4,369.5,554.8,336.5,300.6
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,19674,19716,42,555.8,343.0,764.5,513.7,354.2
Encode-Decode_Experiment-22-1,150472,pizza-slice,encoding,4,4,20304,20316,12,780.2,512.2,741.9,542.9,66.5
Encode-Decode_Experiment-22-1,2348899,tie,encoding,5,5,20572,20596,24,1044.5,531.8,893.5,552.4,189.4
Encode-Decode_Experiment-22-1,2348899,tie,encoding,5,5,20818,20846,28,898.3,549.3,997.5,758.1,302.5
Encode-Decode_Experiment-22-1,2348899,tie,encoding,5,5,21220,21236,16,991.9,768.8,1047.2,791.1,95.3
Encode-Decode_Experiment-22-1,2348899,tie,encoding,5,5,21400,21456,56,1033.8,783.3,735.5,599.9,298.7
Encode-Decode_Experiment-22-1,2348899,tie,encoding,5,5,21714,21748,34,727.3,588.0,1014.9,736.9,402.4
