SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,4,350,346,973.7,555.9,0.1517
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,386,572,186,1225.8,606.5,0.0832
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,600,730,130,1114.7,579.5,0.0551
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,772,996,224,1005.8,537.0,0.1638
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,1020,1522,502,1004.0,553.0,0.1256
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,1568,1754,186,1195.2,568.3,0.0508
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,1776,1976,200,1227.2,584.6,0.0696
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,1998,2104,106,1178.0,582.3,0.0641
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,2178,2368,190,439.2,482.9,0.0589
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,2376,2482,106,441.3,484.0,0.0591
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,2490,2532,42,435.2,476.6,0.06
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,2562,2582,20,578.8,544.3,0.0161
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,2596,2628,32,569.1,529.1,0.0145
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,2646,2710,64,584.5,543.1,0.0169
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,2742,2994,252,326.8,417.5,0.032
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3032,3072,40,549.7,505.9,0.0486
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3084,3112,28,577.6,523.9,0.0167
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3120,3170,50,568.1,514.6,0.0272
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3178,3214,36,563.2,509.1,0.0379
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3262,3442,180,301.6,431.6,0.0468
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3484,3606,122,544.8,508.9,0.0445
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3618,3684,66,559.9,521.3,0.0211
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,3748,3956,208,362.1,463.9,0.0375
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,4034,4194,160,1186.3,570.2,0.0567
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,4218,4312,94,1267.0,581.7,0.0752
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,4388,4610,222,1573.8,434.4,0.2077
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,4786,4946,160,1696.7,602.9,0.0418
Encode-Decode_Experiment-15-1,2347025,umbrella,encoding,1,1,4972,5072,100,1594.0,670.9,0.0561
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,5080,5492,412,1001.7,573.4,0.2467
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,5518,5758,240,950.4,497.1,0.3747
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,5802,5868,66,1019.2,542.3,0.2887
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,5990,6342,352,1334.0,796.7,0.1269
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,6372,6592,220,1502.6,739.4,0.1187
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,6628,6804,176,1810.2,977.6,0.1161
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,6878,7046,168,1129.0,625.1,0.2312
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,7088,7400,312,968.8,554.1,0.2702
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,7428,7538,110,877.2,483.0,0.3462
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,7674,7778,104,889.3,454.4,0.4978
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,7840,8098,258,668.6,682.9,0.1459
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,8144,8516,372,602.0,769.2,0.2658
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,8586,8652,66,400.5,350.0,0.2286
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,8660,8918,258,394.5,350.3,0.2635
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,8926,8990,64,386.4,352.2,0.3044
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,9078,9206,128,999.4,399.3,0.2058
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,9236,9424,188,1175.8,400.8,0.2055
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,9472,9840,368,1364.3,526.9,0.1097
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,encoding,2,2,9896,10152,256,933.4,456.6,0.6467
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,10160,10498,338,990.6,563.9,0.7562
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,10540,10668,128,885.4,295.6,0.064
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,10822,11026,204,1148.2,597.0,0.2951
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,11084,11370,286,886.8,197.5,0.0614
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,11398,11520,122,968.4,73.0,0.0236
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,11602,11758,156,180.6,365.7,0.0699
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,11784,11912,128,246.6,310.7,0.0274
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,11990,12132,142,927.6,729.4,0.5475
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,12206,12292,86,135.0,599.4,0.0738
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,12650,12882,232,892.8,741.8,0.5011
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,12926,13016,90,1027.4,669.7,0.1914
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,13124,13260,136,1214.9,631.1,0.2217
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,13302,13752,450,1356.7,635.0,0.1657
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,13812,13884,72,1245.9,554.4,0.4593
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,14008,14162,154,1606.6,529.6,0.15
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,14216,14330,114,1345.6,493.4,0.1394
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,14382,14782,400,879.5,85.7,0.0482
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,14890,15002,112,1851.3,1030.7,0.0299
Encode-Decode_Experiment-15-1,2369373,chef,encoding,3,3,15058,15140,82,1816.9,888.1,0.0056
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,15228,15322,94,1028.3,552.7,0.3099
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,15332,15498,166,1006.2,552.3,0.2214
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,15564,15676,112,910.2,321.7,0.038
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,15730,15892,162,1271.9,488.8,0.5167
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,15934,16078,144,1247.4,410.6,0.4812
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,16218,16378,160,1269.0,436.1,0.5503
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,16412,16550,138,1225.5,398.2,0.5255
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,16596,16794,198,1317.6,501.1,0.5279
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,16820,17000,180,1236.4,513.2,0.3925
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,17024,17336,312,1291.1,478.5,0.4646
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,17376,17660,284,1211.2,412.3,0.4951
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,17782,17818,36,602.6,163.6,0.0246
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,encoding,4,4,17854,17936,82,605.2,164.1,0.0265
