SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,4,30,26,922.4,546.4,0.0959
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,40,730,690,939.9,553.4,0.0947
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,756,1398,642,882.0,613.9,0.1369
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,1424,2062,638,993.5,513.9,0.1958
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,2082,2314,232,1047.3,485.1,0.3154
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,2332,2920,588,1023.2,485.6,0.2986
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,2946,3040,94,1119.3,475.1,0.4053
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,3100,3222,122,1433.2,877.7,0.1524
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,3250,3480,230,1365.8,1011.1,0.7493
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,3494,3642,148,1335.4,1037.4,0.3434
Encode-Decode_Experiment-16-1,2412687,dog,encoding,1,1,4812,5040,228,694.7,180.5,0.0024
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,5092,5376,284,949.7,553.6,0.0551
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,5428,5696,268,441.7,88.8,0.3313
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,6206,6360,154,491.9,347.5,0.2061
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,6426,6522,96,1147.8,710.5,0.4589
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,6580,6674,94,641.1,446.4,0.0054
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,6748,6962,214,1266.3,612.8,0.3714
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,7002,7316,314,1196.2,870.0,0.682
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,7364,7552,188,1410.7,801.1,0.8074
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,7614,7974,360,1041.5,963.2,0.5232
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,7990,8248,258,1025.3,934.7,0.6819
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,8262,8442,180,996.9,954.3,0.588
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,8496,8770,274,977.9,300.4,0.0691
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,9798,10032,234,1224.1,568.9,0.0952
Encode-Decode_Experiment-16-1,2410309,laptop,encoding,2,2,10050,10160,110,1260.1,555.7,0.1289
