SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,4,396,392,967.0,571.3
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,440,518,78,682.6,353.6
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,568,828,260,988.5,943.9
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,854,1244,390,1095.8,970.8
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,1262,1552,290,1054.2,968.4
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,1574,1980,406,1101.5,987.6
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2004,2208,204,1047.1,982.5
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2252,2384,132,1055.5,341.9
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2424,2604,180,1063.3,228.6
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2660,2854,194,566.9,230.3
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,2900,3030,130,515.4,498.4
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,3092,3458,366,999.9,929.1
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,3490,3820,330,1079.4,958.9
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,3838,4084,246,1029.4,951.0
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,4142,4290,148,848.1,254.9
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,4324,4718,394,1046.9,192.4
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,4750,4980,230,1091.3,371.5
Encode-Decode_Experiment-4-1,2397102,cake,encoding,1,1,5014,5074,60,1213.3,378.6
Encode-Decode_Experiment-4-1,2356125,airport,encoding,2,2,7066,7204,138,758.7,490.2
Encode-Decode_Experiment-4-1,2356125,airport,encoding,2,2,7262,7522,260,1172.8,445.5
Encode-Decode_Experiment-4-1,2356125,airport,encoding,2,2,7562,7928,366,1217.4,626.1
