SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,4,318,314,964.0,559.2,0.2138
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,344,562,218,1073.9,529.5,0.2554
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,594,772,178,1151.2,612.6,0.218
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,928,1030,102,1090.0,600.6,0.137
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,1056,1240,184,1211.1,668.3,0.2671
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,1254,1446,192,1204.0,697.8,0.226
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,1468,1678,210,1125.9,723.7,0.2441
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,1698,1876,178,1097.4,749.1,0.2871
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,1894,2096,202,1164.5,755.9,0.2416
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,2110,2250,140,1138.9,711.7,0.2226
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,2304,2732,428,461.2,718.1,0.272
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,2764,2958,194,184.3,699.0,0.1525
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,2978,3174,196,111.2,692.1,0.2438
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,3210,3344,134,252.5,518.8,0.1725
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,3368,3494,126,305.6,439.4,0.7307
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,3528,3972,444,570.4,443.2,0.339
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,4006,4298,292,318.4,436.6,0.7395
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,4478,4820,342,576.7,427.9,0.4266
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,4870,5028,158,1079.4,449.0,0.4352
Encode-Decode_Experiment-28-1,2356125,airport,encoding,1,1,5040,5076,36,1099.7,467.3,0.5741
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,5084,5380,296,990.5,557.2,0.032
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,5538,5754,216,690.3,232.2,0.0552
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,5768,5892,124,662.5,250.5,0.051
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,5958,6090,132,901.6,900.1,0.0648
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,6112,6242,130,1004.2,912.8,0.1872
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,6300,6622,322,1201.7,419.5,0.2939
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,6646,6876,230,1211.5,483.0,0.3019
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,6926,7060,134,989.4,860.8,0.0167
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,7080,7288,208,1003.0,909.9,0.1787
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,7310,7654,344,1090.7,936.7,0.1842
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,7672,8008,336,1009.3,932.3,0.2415
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,8022,8234,212,1059.4,928.5,0.1642
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,8252,8434,182,1120.9,950.3,0.1497
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,8628,8780,152,866.2,866.0,0.0227
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,8800,8976,176,813.2,815.4,0.0603
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,9028,9200,172,643.5,537.7,0.0676
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,9224,9402,178,541.5,510.3,0.0329
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,9446,9798,352,624.4,236.4,0.0492
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,9840,10032,192,530.4,481.0,0.0189
Encode-Decode_Experiment-28-1,2397102,cake,encoding,2,2,10050,10156,106,495.6,508.6,0.0267
Encode-Decode_Experiment-28-1,2411268,apple,encoding,3,3,10164,10424,260,967.1,548.5,0.0798
