SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,4,440,436,967.6,577.7,0.1159
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,464,750,286,877.1,645.5,0.1604
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,766,1002,236,865.4,675.1,0.1891
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,1028,1256,228,1007.5,598.1,0.1268
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,1436,1884,448,1064.1,545.2,0.0396
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,1894,2018,124,1035.5,545.6,0.0535
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2214,2326,112,1580.3,47.9,0.1451
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2358,2572,214,1773.2,67.6,0.3986
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2580,2758,178,1789.4,50.2,0.4534
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,2792,3176,384,1575.0,8.8,0.2422
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3266,3452,186,1693.7,924.2,0.042
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3474,3664,190,1803.5,927.5,0.4315
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3680,3818,138,1760.4,973.8,0.2163
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,3860,4430,570,1393.0,1008.8,0.9798
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,4506,4718,212,489.2,733.5,0.0165
Encode-Decode_Experiment-19-1,2412687,dog,encoding,1,1,4752,5076,324,329.8,612.0,0.0075
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,5084,5390,306,966.3,568.8,0.1352
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,5414,5542,128,834.8,603.0,0.2055
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,5578,5718,140,881.2,802.4,0.1204
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,5962,6582,620,934.4,986.5,0.3448
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,6868,6986,118,474.5,493.7,0.3107
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,7028,7244,216,167.7,603.3,0.3307
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,7452,8068,616,1363.0,434.7,0.1917
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8122,8354,232,1085.4,878.2,0.163
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8374,8576,202,999.2,878.7,0.2919
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8596,8910,314,950.8,816.2,0.1365
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,8954,9488,534,822.0,557.3,0.3149
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,9542,9696,154,527.4,227.5,0.1064
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,9716,9886,170,588.3,263.2,0.2328
Encode-Decode_Experiment-19-1,2348899,tie,encoding,2,2,9902,10156,254,595.5,222.9,0.111
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,10164,10518,354,982.1,569.1,0.096
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,10542,10684,142,900.6,652.5,0.2603
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,10712,10816,104,750.1,702.6,0.3535
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,10844,11224,380,589.4,624.5,0.6325
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,11258,11490,232,702.4,756.3,0.5156
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,11732,11916,184,1353.7,590.3,0.4053
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,11946,12280,334,1491.9,684.5,0.1462
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,12316,12724,408,1627.1,860.1,0.3362
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,12768,12928,160,1646.1,576.4,0.3028
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,12956,13090,134,1499.9,645.7,0.0946
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13128,13232,104,1175.8,595.7,0.526
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13282,13532,250,719.8,644.1,0.4583
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13558,13748,190,857.0,665.7,0.2142
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13780,13944,164,905.6,494.8,0.3877
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,13956,14260,304,866.0,493.6,0.3799
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,14316,14534,218,1516.8,460.9,0.4319
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,14544,14766,222,1480.8,464.5,0.4254
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,14838,15052,214,1102.3,811.9,0.3398
Encode-Decode_Experiment-19-1,2394020,horse ride,encoding,3,3,15076,15232,156,1153.6,894.9,0.3767
Encode-Decode_Experiment-19-1,2385550,tangerines,encoding,4,4,15240,15530,290,954.6,565.2,0.6887
