svg_z_enc_within_resid,prop_total_resid,prop_relations_resid,prop_objects_resid
-1.3799633254522583,0.11404997220435831,-0.05689524597081186,0.14562244489995113
-2.1195243543869404,-0.28310962683958685,-0.27277760022731856,-0.22672463178015906
0.7808913855155839,0.18696450337782877,0.10412618080148983,-0.05067194206215164
1.3714410304648834,-0.07788396466460701,0.012253985364895192,-0.09953770483016888
-2.4763094492117546,0.0664569256460934,0.288149451646607,0.038264133190248795
0.5562555781688114,0.021897657937886006,0.09556320919799,-0.05281388016900229
0.5349883958031094,-0.03794547728297648,0.021566588789357466,-0.043802231032474825
0.5780290011693175,0.15774964172110062,0.3157456067784513,0.016043334594010583
-0.6515503526723218,-0.5379910378545436,-0.46515512200117753,-0.518263116255578
-1.2921639598517034,-0.14749883898290916,0.030211072402707317,-0.21919457363458134
-0.4635803223913567,0.10413061465089207,0.07418126018398918,0.1887700852136519
-0.037998482944362796,-0.052701483192168386,-0.1557865765647088,-0.10213310076934279
-1.0671429229141614,0.13909125727191707,-0.2527689251601549,0.17723159575373926
0.2144234153509374,0.12764816863901052,0.5193775355036443,0.07054295073696626
1.530824148381644,0.004770336002885345,-0.15811694483312694,0.2286895000545478
0.5627231896846894,0.1741235615273634,0.1178834385437903,0.1879544155563343
1.1477959949135155,0.0590987115800754,0.14224461183023573,0.08464806306032724
1.8599789929328336,0.029594910919927497,0.013046492725372338,-0.029819601020150133
-0.42450867260895886,0.13467999015012716,0.2769662100603405,0.1388548764864863
-0.17552072314899114,0.07803386571363424,0.1661061436393123,0.07900892646097879
-0.9552322557753333,-0.038741525425701195,-0.09897809888604764,-0.036690510030547796
0.5895038288412793,-0.009149994878414391,-0.05527802387973785,0.006656284794425149
-0.316621076673474,-0.14598567391011785,-0.18468589929898654,-0.14165158643568904
0.2076132579929606,-0.1751377316104405,-0.2469215551286329,-0.10733286587433766
-0.15838295081637016,-0.10948449071870897,-0.06507831286872884,-0.11546548406221879
0.74819308984322,0.007665473719085547,-0.10551014763260985,0.10700896144937821
-1.2813184112882436,-0.15861602205732284,-0.24112589238387083,-0.07684230214378229
3.149494306551008,0.28202344827842996,0.1071087898672029,0.2122889557658345
-1.0323383554778118,0.08626682807683406,0.07454776750047543,0.13935900208326102
1.6780302123272253,-0.09134702393536986,-0.1623392723684452,-0.15136480083983533
-1.5057655061080855,0.12017109520238567,0.35403455843911547,0.13138303075369473
-0.22820905893571464,-0.09649161775012388,-0.2006242908303446,-0.19270844902340445
-1.1071392931898598,-0.4336710743552416,-0.4113396339196411,-0.4076894638115476
-0.0048779784259223025,-0.4636717031438603,-0.4081967642450268,-0.5030386355129238
-0.27277951763134134,0.14989212489295356,0.16586032007337675,0.08633652023858651
1.6453052087143072,0.01638003920245068,0.05165892724397636,0.022658699242099734
1.5611259808596503,-0.4456480909166756,-0.41727607578211057,-0.44676834184737735
0.9801351195629111,-0.039998275914158166,-0.025848028819951685,0.005992102593365911
1.8099654753506718,0.04113307184440146,-0.06019762119216654,0.07460494275880603
-0.5983642106728283,0.5608548622491731,0.5992579444590755,0.5675046717608125
1.3007551331055525,0.12055257880397069,0.0528023654251738,0.17236140834938263
-0.9089764026738187,0.24497165757382355,0.3105545720870258,0.11261808075706775
-0.5657698871927574,-0.012166752588094576,0.007382959797413768,-0.020278374534364263
0.019886254417954663,0.30895561886338974,0.1880056666989776,0.4347215626616979
0.6044928012948503,0.4520316210844488,0.3434726396150205,0.5783006579431684
-1.0414806574307032,0.20237610293582065,0.2214259487581277,0.19287896334803034
-0.22753318306208203,-0.4510438451357403,-0.42498264657359214,-0.4487262111019326
-2.050246443245693,0.22651537887738776,0.2480168858096013,0.1329467157672597
-0.8034167903667923,-0.07209256049439344,0.027512685743614096,-0.0922383087687706
1.2642121948879046,-0.4208613697451473,-0.39655701188217024,-0.4188911423312156
-0.5243557729308274,0.002751399271695598,-0.01561358763611298,0.03452426760600036
