svg_z_enc_within_z,pred_relations_pct,ci_lower_rel_pct,ci_upper_rel_pct,pred_objects_pct,ci_lower_obj_pct,ci_upper_obj_pct
-2.0,41.475452620629575,37.32133854534216,45.62956669591699,52.19079255979038,48.03667848450296,56.3449066350778
-1.9663865546218486,41.55192610967474,37.45387994873969,45.649972270609794,52.25319237460803,48.15514621367297,56.35123853554308
-1.9327731092436975,41.62839959871991,37.58623369483844,45.67056550260137,52.315592189425686,48.273426285544225,56.35775809330714
-1.8991596638655461,41.70487308776507,37.71839189220639,45.69135428332375,52.37799200424333,48.39151080868466,56.36447319980201
-1.865546218487395,41.781346576810236,37.85034623067977,45.712346922940704,52.44039181906099,48.50939147293053,56.37139216519146
-1.8319327731092436,41.8578200658554,37.98208795556881,45.733552176142,52.502791633878644,48.627059523592045,56.37852374416524
-1.7983193277310925,41.93429355490057,38.11360784015915,45.75497926964199,52.56519144869629,48.74450573395487,56.38587716343771
-1.7647058823529411,42.01076704394573,38.24489615640251,45.77663793148894,52.62759126351395,48.861720375970734,56.39346215105717
-1.73109243697479,42.0872405329909,38.375942643686436,45.79853842229536,52.6899910783316,48.97869318902714,56.401288967636056
-1.6974789915966386,42.16371402203606,38.50673647556961,45.82069156850251,52.75239089314926,49.09541334668282,56.409368439615704
-1.6638655462184875,42.24018751108123,38.63726622436713,45.84310879779533,52.81479070796691,49.21186942125281,56.41771199468101
-1.6302521008403361,42.316661000126395,38.767519823468405,45.865802176784385,52.877190522784566,49.328049346126576,56.42633169944256
-1.596638655462185,42.39313448917156,38.89748452727109,45.88878445107202,52.93959033760222,49.44394037570175,56.435240299502674
-1.5630252100840336,42.46960797821672,39.02714686861592,45.91206908781753,53.00199015241988,49.55952904281907,56.44445126202068
-1.5294117647058822,42.546081467261885,39.156492613612066,45.93567032091171,53.064389967237524,49.674801113587705,56.45397882088734
-1.495798319327731,42.622554956307056,39.28550671374987,45.959603198864244,53.126789782055184,49.789741539497996,56.463838024612365
-1.46218487394958,42.69902844535222,39.414173255208404,45.983883635496035,53.18918959687283,49.90433440672902,56.47404478701665
-1.4285714285714286,42.77550193439738,39.54247540528116,46.00852846351361,53.25158941169049,50.01856288257427,56.48461594080671
