svg_z_dec_within_resid,prop_total_resid,prop_relations_resid,prop_objects_resid
,,,
0.085490386983031,-0.0006239941436054774,0.2040756131381214,-0.062216307733215404
,,,
-1.3988020984358056,0.053897746605036934,-0.09995541331170898,0.11390502718421053
-0.5087162848119864,0.21967566321450493,0.14740456705425736,0.1497383925316228
,,,
-1.0620533238842451,0.1547510311677293,0.25880159422767596,0.12095734456857493
0.18803277502927246,-0.24906879296389212,-0.2735162389051757,-0.18932361979247936
0.40475633538546596,0.04778111579317146,-0.08323910195879825,-0.0028861363254519268
0.1271591140666849,0.1776638180059965,-0.020214125208081246,0.18796183470166794
-0.34477216817608775,-0.48858162126869537,-0.3899509622381877,-0.4888723877240642
0.44804812432980906,0.0850006906910955,0.33931827626854355,0.030285711827641504
,,,
-0.7647786295915086,0.10688793159383059,0.052773546134426974,0.013701024374403958
-0.308268375871005,-0.16753005574797236,-0.2704239024001103,-0.04084129693113919
,,,
1.1209134827040228,-0.0668296281462114,0.1196855505270557,-0.12667721075667493
0.3393566749253127,0.013012012199106027,-0.12719687301949306,0.03868915618298491
-0.015015253174694765,0.006058375108468406,0.08491533055296441,-0.0021806704214381023
-0.6912694102985817,-0.06260160606263515,-0.07063639080141926,-0.09438507446891703
,,,
-1.131848165264586,-0.09794787249218434,-0.21687947737654778,-0.02143138338136974
1.4544820633717426,-0.02389861293140405,-0.06851250188938168,-0.04432108327234574
-0.6852110103971378,0.1342706640819562,0.27478103695468437,0.11632353410642254
0.7210763823431966,-0.020130836845240974,0.03328336491284395,0.07406060510523427
1.1534876910690797,0.13245641360319654,0.12340365345660015,0.07710695263919787
,,,
0.8679316896979976,0.0457575585377355,-0.017917546118264904,0.15040558758511685
,,,
,,,
,,,
,0.14388751905949093,0.31751923938861903,-0.03652881623379328
,-0.39445164515630904,-0.3876513684784535,-0.3795733083083267
0.7772196988128379,0.40364344916753647,0.10072036720472383,0.6173960128217899
-0.6219419941073302,0.005428315290341712,0.2892654635643383,-0.023593478378782895
0.21842968809496016,-0.41118461071075263,-0.38653684009707073,-0.398365323146898
0.9250599078369431,0.06528315724694178,-0.1271274119531084,0.11918674771209908
,,,
-1.8901840009724675,0.28115845462703026,0.2921457880500849,0.20612284755569088
,,,
,,,
,,,
,,,
-0.1432284657767333,0.06341746966754669,0.046786185677262504,0.08838762494530145
-0.68953219126757,-0.037329601550587455,0.05623342098738404,-0.022976743184526305
,-0.004847335668413388,0.04860106088158633,0.014495004667012201
1.424177357379363,-0.07822496113748645,-0.1732414599187676,-0.11683714807596285
,-0.1636076520159469,-0.23866228251302007,-0.18986249501201222
,,,
,,,
,,,
,0.12682744118060996,0.16194783720642209,0.12214907463840163
0.10906561245774338,0.04658004692744011,0.043326862530225,-0.012692759567683232
0.29312482487003905,0.008922358218138027,-0.036976228382993914,-0.06704643264980825
2.6096676838565913,-0.037610644907810964,0.028913128698498547,0.028062722633988235
-1.124320703238889,-0.043574387604837395,-0.13047931745625624,0.08754541066559807
,,,
,,,
,,,
,,,
-0.22184076749593995,-0.1129298455887216,0.032907057971733156,-0.14670389655120442
0.2677125183516347,0.05191601543981916,0.2241711730395166,-0.024376284002997628
,,,
-0.7694731420122629,-0.013080085574683875,-0.20835640475006215,0.025136277898737514
,,,
-0.7280885611858763,0.08993614775457731,0.35711978405122285,-0.009951560136499449
1.5997309717102735,-0.1464055794984483,-0.38448879329674673,-0.07558938855961289
,,,
,,,
,,,
0.5209441453842818,0.1252584321040061,0.13029636750691864,0.1405232324413841
-1.8577910917455482,0.15597848119271024,0.1988502142933405,0.13959976480884506
,-0.13571745275772956,-0.14486456283031113,-0.16479873409094536
,,,
,,,
-0.4331815469532575,-0.10644863779922664,-0.2528698250349274,0.04474732386616709
-0.26554994399881593,0.11717515209476825,0.14245054365983406,0.03554432324403345
-1.171286485753901,-0.11522694840920739,-0.08179400554010519,-0.1025597126458942
,0.08963946145057744,-0.0013703289496836413,0.10874019966521598
0.05849736367935271,-0.10042847781212993,-0.06441061522453717,-0.027957524029553538
0.3734381753916616,0.3108514282593047,0.22492445023594942,0.42385187718405104
1.2051561714412407,-0.21720724589119644,-0.14998772787068193,-0.2165332091550527
,-0.12894982066813776,-0.10409653684872133,-0.20080581596068575
0.5235654762731725,-0.03120608990255258,0.08682450140111331,-0.15911336039413854
-0.24247565242283498,0.0922009296031886,0.001383995864993215,0.04863919613225953
-0.7345088913921785,0.1285555278283373,-0.09610602780802313,0.22745490992945716
,,,
0.3946019552968532,-0.0705177583726404,0.011892258575590786,-0.08954095644656579
,,,
-0.5351118976191186,0.051192379764932294,-0.0023820672870283333,0.1099318283395665
0.12812378510567923,0.03826895225007365,-0.006147403449353328,0.03952922720296459
,,,
,-0.04717233810051813,0.18126950690051596,-0.1616366598216042
1.3088146708786494,-0.06795381832413738,0.06440690705508412,-0.16682049520408065
-1.1777657291224803,0.004934746459976158,-0.1000840373804085,0.03850253640053036
-0.6928944385235443,-0.1444016302906968,-0.21006457758669078,-0.00376669302075594
,,,
,,,
,0.39724028766439756,0.37806862512362116,0.3413471804256948
,,,
0.31047586780722,0.012955798365621884,0.3338464046081536,-0.07508782985533335
,-0.13539238963009526,0.1579375279528792,-0.21330796151393566
,,,
0.36473800416359525,-0.055735670528880066,-0.2939238548474609,-0.013170543556139447
-0.2089898288068942,-0.0008122296594499367,-0.2737210700193948,0.14718862888215978
0.09562145360345076,-0.010835094056750427,-0.05646592490580715,-0.054884822558154744
,,,
-0.06320510135681828,0.47877439728479554,0.3575937705266986,0.4588704522543944
-0.6566447388470624,0.17931017653650566,0.3857272805838484,0.10207478793755836
,0.08931675032565106,-0.23891659265263326,0.3028821645297189
-0.22653382878264883,0.19014687525919172,-0.012345182851543901,0.0772405789297424
0.36280585305577573,0.09839472762197765,-0.04216751498290339,0.1798552082601128
-0.25798248643784316,0.15668416445644984,0.09138176198403825,0.11810769958777084
0.5073001199861592,0.20803520329801045,0.0035070834932255934,0.1620512998169702
-0.15527897015721548,0.04479673379586907,0.02382343800288239,0.02033912527701759
