svg_z_enc_within_z,pred_objects,ci_lower_objects,ci_upper_objects,pred_relations,ci_lower_relations,ci_upper_relations
-1.947643019123199,0.5228682417498687,0.4744945654200333,0.571241918079704,0.43299430500106006,0.3846206286712247,0.4813679813308954
-1.9148033087778664,0.5237192297666622,0.4759934292922547,0.5714450302410697,0.4338361053815241,0.3861103049071166,0.4815619058559316
-1.881963598432534,0.5245702177834557,0.4774900974276382,0.5716503381392731,0.4346779057619881,0.3875977854061706,0.4817580261178056
-1.8491238880872014,0.5254212058002492,0.47898447823413426,0.5718579333663641,0.43551970614245217,0.3890829785763372,0.4819564337085671
-1.816284177741869,0.5262721938170427,0.480476475306281,0.5720679123278044,0.43636150652291616,0.39056578801215447,0.48215722503367786
-1.7834444673965364,0.5271231818338363,0.48196598713221334,0.5722803765354593,0.4372033069033802,0.3920461122017572,0.4823605016050032
-1.750604757051204,0.5279741698506298,0.4834529067816235,0.5724954329196361,0.4380451072838442,0.3935238442148379,0.48256637035285055
-1.7177650467058714,0.5288251578674233,0.4849371215735189,0.5727131941613277,0.43888690766430827,0.39499887137040385,0.4827749439582127
-1.6849253363605388,0.5296761458842169,0.4864185127225829,0.5729337790458507,0.43972870804477227,0.3964710748831383,0.4829863412064062
-1.6520856260152064,0.5305271339010105,0.48789695496291624,0.5731573128391048,0.4405705084252363,0.3979403294871421,0.48320068736333055
-1.6192459156698737,0.531378121917804,0.4893723161479179,0.5733839276876901,0.4414123088057003,0.3994065030358142,0.4834181145755864
-1.5864062053245411,0.5322291099345975,0.49084445682505845,0.5736137630441365,0.44225410918616437,0.40086945607662533,0.4836387622957034
-1.5535664949792087,0.533080097951391,0.49231322978430736,0.5738469661184746,0.44309590956662837,0.40232904139954473,0.483862777733712
-1.5207267846338761,0.5339310859681845,0.49377847957901094,0.574083692357358,0.4439377099470924,0.40378510355791886,0.484090316336266
-1.4878870742885437,0.5347820739849781,0.4952400420180768,0.5743241059518794,0.4447795103275564,0.40523747836065516,0.4843215422944577
-1.455047363943211,0.5356330620017716,0.49669774362841035,0.5745683803751329,0.44562131070802047,0.4066859923346592,0.48455662908138175
-1.4222076535978787,0.5364840500185651,0.49815140108668743,0.5748166989504429,0.44646311108848447,0.40813046215660675,0.4847957600203622
-1.389367943252546,0.5373350380353586,0.4996008206197266,0.5750692554509906,0.4473049114689485,0.4095706940533165,0.48503912888458056
-1.3565282329072135,0.5381860260521522,0.5010457973729718,0.5753262547313325,0.44814671184941257,0.41100648317023225,0.4852869405285929
-1.323688522561881,0.5390370140689458,0.502486114746912,0.5755879133909796,0.44898851222987657,0.41243761290784275,0.4855394115519104
-1.2908488122165485,0.5398880020857393,0.5039215437016683,0.5758544604698103,0.44983031261034057,0.41386385422626953,0.4857967709944116
-1.2580091018712158,0.5407389901025328,0.5053518420304884,0.5761261381745771,0.4506721129908046,0.41528496491876027,0.48605926106284897
-1.2251693915258834,0.5415899781193263,0.5067767536035119,0.5764032026351407,0.45151391337126867,0.41670068885545436,0.486327137887083
-1.192329681180551,0.5424409661361198,0.5081960075839443,0.5766859246882953,0.45235571375173267,0.4181107551995572,0.48660067230390813
-1.1594899708352184,0.5432919541529134,0.509609317619709,0.5769745906861179,0.4531975141321967,0.4195148775989923,0.48688015066540113
-1.1266502604898858,0.5441429421697069,0.5110163810147709,0.577269503324643,0.4540393145126607,0.42091275335772466,0.4871658756675968
-1.0938105501445534,0.5449939301865004,0.5124168778856629,0.577570982487338,0.45488111489312477,0.4223040625922873,0.48745816719396223
-1.0609708397992208,0.545844918203294,0.5138104703103257,0.5778793660962622,0.45572291527358877,0.4236884673806205,0.48775736316655705
-1.0281311294538882,0.5466959062200876,0.5151968014782203,0.5781950109619548,0.4565647156540528,0.4250656109121856,0.48806382039592006
-0.9952914191085558,0.5475468942368811,0.5165754948528208,0.5785182936209413,0.4574065160345168,0.42643511665045664,0.488377915418577
-0.9624517087632232,0.5483978822536746,0.5179461533600498,0.5788496111472994,0.45824831641498087,0.4277965875213561,0.48870004530860567
-0.9296119984178908,0.5492488702704681,0.5193083586190166,0.5791893819219196,0.45909011679544487,0.4291496051439933,0.48903062844689643
-0.8967722880725582,0.5500998582872616,0.5206616702345535,0.5795380463399697,0.4599319171759089,0.43049372912320083,0.489370105228617
-0.8639325777272255,0.5509508463040552,0.5220056251745055,0.5798960674336049,0.4607737175563729,0.43182849642682325,0.4897189386859226
-0.8310928673818931,0.5518018343208487,0.5233397372585016,0.5802639313831959,0.46161551793683697,0.4331534208744898,0.4900776149991841
-0.7982531570365605,0.5526528223376422,0.5246634967889544,0.5806421478863301,0.46245731831730097,0.43446799276861314,0.4904466438659888
-0.7654134466912281,0.5535038103544357,0.5259763703592162,0.5810312503496553,0.463299118697765,0.4357716787025455,0.4908265586929845
-0.7325737363458955,0.5543547983712293,0.5272778008780357,0.5814317958644228,0.464140919078229,0.43706392158503543,0.4912179165714226
-0.6997340260005629,0.5552057863880229,0.5285672078535284,0.5818443649225173,0.4649827194586931,0.43834414092419854,0.4916212979931876
-0.6668943156552305,0.5560567744048164,0.5298439879835587,0.5822695608260741,0.46582451983915707,0.43961173341789933,0.4920373062604148
-0.6340546053098979,0.5569077624216099,0.5311075161024266,0.5827080087407932,0.4666663202196211,0.4408660739004378,0.49246656653880444
-0.6012148949645655,0.5577587504384034,0.5323571465356847,0.5831603543411221,0.4675081206000851,0.44210651669736645,0.4929097245028038
-0.5683751846192329,0.5586097384551969,0.5335922149153516,0.5836272619950422,0.4683499209805492,0.44333239744070385,0.4933674445203945
-0.5355354742739002,0.5594607264719905,0.5348120405062269,0.5841094124377542,0.46919172136101317,0.4445430353952495,0.49384040732677686
-0.5026957639285679,0.560311714488784,0.536015929089934,0.584607499887634,0.4700335217414772,0.44573773634262714,0.4943293071403273
-0.46985605358323523,0.5611627025055775,0.5372031764461761,0.585122228564979,0.4708753221219412,0.4469157960625398,0.49483484818134266
-0.43701634323790284,0.562013690522371,0.5383730724599913,0.5856543085847508,0.4717171225024053,0.4480765044400255,0.49535774056478504
-0.4041766328925702,0.5628646785391646,0.5395249058691595,0.5862044512091696,0.47255892288286927,0.4492191502128642,0.49589869555287436
-0.3713369225472378,0.5637156665559582,0.5406579696471223,0.586773363464794,0.4734007232633333,0.4503430263544975,0.4964584201721691
-0.3384972122019052,0.5645666545727517,0.54177156699389,0.5873617421516134,0.4742425236437973,0.4514474360649356,0.49703761122265905
-0.3056575018565726,0.5654176425895452,0.5428650178808281,0.5879702672982623,0.4750843240242614,0.45253169931554427,0.4976369487329785
-0.2728177915112402,0.5662686306063387,0.5439376660657614,0.588599595146916,0.47592612440472537,0.4535951598641481,0.49825708894530263
-0.23997808116590758,0.5671196186231322,0.5449888864637839,0.5892503507824806,0.4767679247851894,0.454637192625841,0.49889865694453783
-0.20713837082057518,0.5679706066399258,0.546018092728277,0.5899231205515747,0.4776097251656534,0.45565721125400455,0.4995622390773023
-0.17429866047524256,0.5688215946567193,0.5470247448680577,0.5906184444453809,0.4784515255461175,0.4566546757574559,0.5002483753347791
-0.14145895012990994,0.5696725826735128,0.548008356702714,0.5913368086443117,0.47929332592658147,0.45762909995578255,0.5009575518973803
-0.10861923978457755,0.5705235706903063,0.5489685029415328,0.5920786384390799,0.4801351263070455,0.458580058558272,0.501690194055819
-0.07577952943924493,0.5713745587071,0.5499048256642646,0.5928442917499354,0.4809769266875095,0.45950719364467413,0.5024466597303449
-0.042939819093912535,0.5722255467238935,0.5508170399860792,0.5936340534617077,0.4818187270679736,0.4604102203301593,0.5032272338057878
-0.010100108748579917,0.573076534740687,0.551704938705494,0.59444813077588,0.48266052744843757,0.46128893141324456,0.5040321234836306
0.0227396015967527,0.5739275227574805,0.5525683957627755,0.5952866497521855,0.4835023278289016,0.4621432008341966,0.5048614548236067
0.0555793119420851,0.574778510774274,0.5534073683762547,0.5961496531722933,0.4843441282093656,0.4629729858113463,0.5057152706073849
0.08841902228741749,0.5756294987910676,0.5542218977729031,0.5970370998092321,0.4851859285898297,0.4637783275716652,0.5065935296079942
0.12125873263275033,0.5764804868078611,0.5550121084842561,0.5979488651314662,0.4860277289702937,0.46455935064668863,0.5074961072938988
0.15409844297808273,0.5773314748246546,0.5557782062355525,0.5988847434137567,0.4868695293507577,0.4653162607616556,0.5084227979398599
0.18693815332341512,0.5781824628414481,0.5565204745107677,0.5998444511721286,0.4877113297312217,0.4660493414005413,0.5093733180619021
0.21977786366874796,0.5790334508582416,0.5572392699252697,0.6008276317912136,0.4885531301116858,0.4667589491787139,0.5103473110446577
0.25261757401408036,0.5798844388750353,0.5579350165779515,0.601833861172119,0.4893949304921498,0.46744550819506614,0.5113443527892335
0.28545728435941276,0.5807354268918288,0.5586081995836383,0.6028626542000193,0.4902367308726138,0.46810950356442327,0.5123639581808044
0.31829699470474515,0.5815864149086223,0.5592593580032222,0.6039134718140223,0.4910785312530778,0.4687514743476777,0.5134055881584779
