phase,svg_z
Encoding,5.317694
Encoding,1.681049
Encoding,1.855788
Encoding,-0.296207
Encoding,-0.330341
Encoding,-0.02539
Encoding,1.0759
Encoding,2.156886
Encoding,1.393231
Encoding,0.674193
Encoding,0.9848
Encoding,0.594583
Encoding,3.554172
Encoding,-0.560789
Encoding,1.054371
Encoding,1.88866
Encoding,1.054649
Encoding,0.892957
Encoding,2.298821
Encoding,1.177042
Encoding,2.027173
Encoding,1.495216
Encoding,1.815724
Encoding,2.13348
Encoding,0.74694
Encoding,0.459874
Encoding,-0.638494
Encoding,3.537108
Encoding,1.862074
Encoding,1.997894
Encoding,1.770537
Encoding,-2.04561
Encoding,0.071524
Encoding,-0.097269
Encoding,2.016231
Encoding,2.346921
Encoding,2.284465
Encoding,1.364214
Encoding,2.942703
Encoding,-0.059565
Encoding,2.916308
Encoding,2.493095
Encoding,2.233021
Encoding,-0.303299
Encoding,-0.040379
Encoding,2.738427
Encoding,-0.038653
Encoding,3.887289
Encoding,-1.72387
Encoding,-0.180776
Encoding,-0.617491
Encoding,1.739359
Encoding,1.238422
Encoding,0.402686
Encoding,3.586813
Encoding,-0.341781
Encoding,-0.388201
Encoding,1.361297
Encoding,-0.712237
Encoding,-0.517959
Encoding,2.66112
Encoding,-0.431965
Encoding,3.657238
Encoding,1.967398
Encoding,0.340293
Encoding,3.135572
Encoding,2.282924
Encoding,3.71484
Encoding,2.046522
Encoding,0.827011
Encoding,1.973795
Encoding,-0.800033
Encoding,2.85317
Encoding,1.702532
Encoding,3.303456
Encoding,3.348202
Encoding,2.375472
Encoding,2.185584
Encoding,0.30189
Encoding,2.723637
Encoding,0.737655
Encoding,-0.810159
Encoding,1.04241
Encoding,3.618418
Encoding,0.002885
Encoding,1.934655
Encoding,1.227062
Encoding,2.696682
Encoding,1.271186
Encoding,-0.013585
Encoding,1.782782
Encoding,1.63741
Encoding,3.167506
Encoding,3.206654
Encoding,0.864709
Encoding,0.693269
Encoding,-0.829805
Encoding,3.142934
Encoding,1.51051
Encoding,0.04343
Encoding,3.265288
Encoding,0.553047
Encoding,1.118331
Encoding,1.072528
Encoding,1.51968
Encoding,1.121074
Encoding,0.953935
Encoding,1.32884
Encoding,-0.592249
Encoding,-0.315236
Encoding,0.544681
Encoding,-0.025477
Encoding,-0.312748
Encoding,0.832156
Encoding,1.863307
Encoding,0.350369
Encoding,0.629504
Encoding,1.011119
Encoding,3.612995
Encoding,-0.911186
Encoding,1.913484
Encoding,-0.438785
Encoding,-0.270662
Encoding,2.721091
Encoding,2.995786
Encoding,0.350991
Encoding,0.520592
Encoding,-0.175706
Encoding,0.929464
Encoding,4.73642
Encoding,2.249736
Encoding,3.596008
Encoding,5.609256
Encoding,2.743835
Encoding,2.249558
Encoding,-0.758961
Encoding,1.821384
