StimID,svg_z_enc_image_mean,svg_z_enc_image_sd,n,ci_lower,ci_upper
2385851,-0.2549824210526316,0.9541441460325883,19,-0.7148651785864719,0.2049003364812088
2383555,0.20344205263157894,0.9789907763408688,19,-0.2684163973687597,0.6753005026319177
2410309,0.2172683181818182,0.950905645616019,22,-0.2043396259564279,0.6388762623200643
2362704,0.2529216818181818,1.0313779255756828,22,-0.20436567243854348,0.7102090360749072
2345035,0.3580512727272727,1.091743574781149,22,-0.1260007109912954,0.8421032564458408
2344622,0.5056617272727273,0.9052091807380732,22,0.1043144606269314,0.9070089939185232
2408717,0.5661411363636364,0.7503624691835715,22,0.23344905545161387,0.8988332172756589
2356125,0.7261805714285714,0.9748230914120557,21,0.28244642024487704,1.1699147226122657
2347400,0.8916799545454546,1.1157371185481553,22,0.3969898294856966,1.3863700796052125
2356991,0.9049161818181819,1.0809388187421525,22,0.4256547585527127,1.3841776050836512
2387122,0.9178346818181818,0.853152743114976,22,0.5395679466074652,1.2961014170288985
2347025,0.9484400454545454,1.216251282600781,22,0.40918443668104976,1.487695654228041
2370664,0.9945044545454546,1.4735680741286479,22,0.34116097178732896,1.6478479373035801
2369373,1.1567880952380951,1.1961233324682246,21,0.6123192820558189,1.7012569084203712
150472,1.2262495,1.585527302928803,20,0.4841998804572001,1.9682991195428
2349475,1.2590901363636364,1.198726478834509,22,0.7276045902891982,1.7905756824380745
2360001,1.2778753636363636,1.2615430989913954,22,0.7185384884588143,1.8372122388139127
2374670,1.371793590909091,0.9602344343368724,22,0.9460494935657064,1.7975376882524756
2412687,1.451365105263158,1.1312051634497753,19,0.9061416690906184,1.9965885414356976
2385550,1.6704073636363637,1.32568686484865,22,1.0826307359165497,2.2581839913561774
2371471,1.755834842105263,1.278280203850134,19,1.1397235055824886,2.371946178628037
2411268,1.8093183499999999,1.2253317616100323,20,1.235845432922606,2.3827912670773936
2394020,1.862782909090909,1.1176687580071856,22,1.3672363430741616,2.3583294751076562
2350974,1.9283305714285712,1.3162197290551871,14,1.168367925537987,2.6882932173191554
2409918,2.1853706818181817,1.4120558982527631,22,1.55930016996949,2.8114411936668735
2379478,2.2821192,1.138984026211384,20,1.7490582670509087,2.815180132949091
2397102,2.2999614545454543,1.1910826134485395,22,1.771865008520538,2.8280579005703705
2386442,2.73572185,1.5169794942515582,20,2.025753592446667,3.445690107553333
2348899,3.1134014545454547,1.3493713312617184,22,2.51512372270615,3.7116791863847594
2367132,3.199006428571429,1.3697642079851764,21,2.575497236486455,3.822515620656403
