svg_z_enc_within_z,pred_total_pct,ci_lower_pct,ci_upper_pct
-2.0,50.370300547607606,46.59629797721062,54.144303118004586
-1.9663865546218486,50.44951566847693,46.726511106920476,54.172520230033385
-1.9327731092436975,50.52873078934626,46.856558413366635,54.2009031653259
-1.8991596638655461,50.60794591021559,46.986432913969935,54.22945890646125
-1.865546218487395,50.687161031084926,47.11612725435093,54.258194807818924
-1.8319327731092436,50.76637615195425,47.24563368527133,54.28711861863717
-1.7983193277310925,50.845591272823576,47.374944038032254,54.31623850761489
-1.7647058823529411,50.92480639369291,47.50404969822986,54.34556308915597
-1.73109243697479,51.00402151456224,47.632941577765045,54.375101451359434
-1.6974789915966386,51.083236635431575,47.76161008500053,54.40486318586262
-1.6638655462184875,51.1624517563009,47.89004509295496,54.43485841964684
-1.6302521008403361,51.241666877170225,48.01823590542227,54.46509784891818
-1.596638655462185,51.32088199803956,48.146171220902914,54.495592775176206
-1.5630252100840336,51.40009711890888,48.27383909423437,54.5263551435834
-1.5294117647058822,51.47931223977822,48.401226895810865,54.55739758374558
-1.495798319327731,51.558527360647545,48.52832126828648,54.5887334530086
-1.46218487394958,51.63774248151687,48.655108080664476,54.62037688236926
-1.4285714285714286,51.7169576023862,48.781572379686345,54.652342825086066
-1.3949579831932772,51.79617272325553,48.90769833845099,54.684647108060055
-1.361344537815126,51.87538784412485,49.03346920221588,54.71730648603382
-1.327731092436975,51.95460296499419,49.15886723136017,54.75033869862821
-1.2941176470588236,52.033818085863516,49.28387364152702,54.78376253020001
-1.2605042016806722,52.11303320673285,49.40846854100812,54.81759787245758
-1.226890756302521,52.19224832760217,49.532630865490965,54.85186578971339
-1.1932773109243697,52.2714634484715,49.65633831036096,54.88658858658204
-1.1596638655462184,52.350678569340836,49.779567260836465,54.92178987784521
-1.1260504201680672,52.429893690210164,49.902292720319736,54.95749466010058
-1.092436974789916,52.509108811079486,50.024488237472,54.99372938468697
-1.0588235294117647,52.58832393194882,50.146125832668844,55.0305220312288
-1.0252100840336134,52.66753905281815,50.2671759246664,55.067902180969895
-0.9915966386554622,52.746754173687485,50.3876072585114,55.10590108886356
-0.9579831932773111,52.825969294556806,50.50738683596065,55.14455175315296
-0.9243697478991597,52.905184415426135,50.62647984994045,55.18388898091181
-0.8907563025210083,52.98439953629547,50.74484962487321,55.22394944771772
-0.8571428571428572,53.06361465716479,50.862457565027086,55.2647717493025
-0.8235294117647058,53.14282977803413,50.97926311340013,55.306396442668124
-0.7899159663865547,53.222044898903455,51.095223724029225,55.34886607377768
-0.7563025210084033,53.301260019772776,51.21029485100457,55.39222518854099
-0.7226890756302522,53.38047514064211,51.32442995786014,55.43652032342409
-0.6890756302521008,53.45969026151144,51.437580551379305,55.481799971643575
-0.6554621848739497,53.53890538238076,51.5496962441776,55.52811452058393
-0.6218487394957983,53.6181205032501,51.660724850669396,55.575516155830805
