svg_z_dec_within_z,pred_total,ci_lower,ci_upper
-1.757189855107405,0.5783111422702267,0.5162038628913866,0.6404184216490668
-1.7249230885543323,0.5786430952589067,0.5173658440887687,0.6399203464290446
-1.6926563220012594,0.5789750482475867,0.5185248385457444,0.6394252579494291
-1.6603895554481867,0.5793070012362668,0.5196807219801624,0.6389332804923712
-1.6281227888951137,0.5796389542249467,0.5208333636254225,0.6384445448244709
-1.595856022342041,0.5799709072136268,0.5219826258415045,0.6379591885857491
-1.5635892557889681,0.5803028602023068,0.5231283637014396,0.6374773567031741
-1.5313224892358954,0.5806348131909868,0.5242704245518415,0.636999201830132
-1.4990557226828227,0.5809667661796668,0.5254086475460843,0.6365248848132493
-1.4667889561297498,0.5812987191683469,0.5265428631487071,0.6360545751879866
-1.4345221895766769,0.5816306721570268,0.5276728926096299,0.6355884517044237
-1.4022554230236042,0.5819626251457068,0.5287985474067944,0.6351267028846193
-1.3699886564705315,0.5822945781343869,0.5299196286558964,0.6346695276128774
-1.3377218899174586,0.5826265311230668,0.5310359264859681,0.6342171357601656
-1.3054551233643858,0.5829584841117469,0.5321472193797006,0.6337697488437932
-1.2731883568113131,0.5832904371004269,0.5332532734775711,0.6333276007232828
-1.2409215902582402,0.5836223900891069,0.5343538418450955,0.6328909383331183
-1.2086548237051673,0.5839543430777869,0.5354486637028295,0.6324600224527444
-1.1763880571520946,0.584286296066467,0.5365374636191542,0.6320351285137797
-1.144121290599022,0.5846182490551469,0.5376199506663902,0.6316165474439036
-1.111854524045949,0.584950202043827,0.538695817541411,0.6312045865462429
-1.0795877574928763,0.585282155032507,0.5397647396527016,0.6307995704123125
-1.0473209909398036,0.585614108021187,0.5408263741767533,0.6304018418656206
-1.0150542243867307,0.585946061009867,0.5418803590878098,0.6300117629319242
-0.9827874578336578,0.5862780139985471,0.5429263121663348,0.6296297158307593
-0.950520691280585,0.586609966987227,0.5439638299931668,0.6292561039812872
-0.9182539247275122,0.5869419199759071,0.5449924869382015,0.6288913530136127
-0.8859871581744394,0.5872738729645871,0.5460118341546178,0.6285359117745564
-0.8537203916213667,0.587605825953267,0.5470213985921775,0.6281902533143566
-0.8214536250682939,0.5879377789419471,0.5480206820459881,0.6278548758379061
-0.7891868585152211,0.5882697319306271,0.5490091602603511,0.6275303036009032
-0.7569200919621482,0.5886016849193071,0.5499862821109192,0.627217087727695
