SubjectID,StimID,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-17-1,1128,49 + 86 = ?,0,9003,2,1,1
Encode-Decode_Experiment-17-1,1095,32 + 74 = ?,1,4128,2,2,2
Encode-Decode_Experiment-17-1,1050,23 + 28 = ?,1,3112,2,2,3
Encode-Decode_Experiment-17-1,1029,91 - 36 = ?,1,6609,3,3,4
Encode-Decode_Experiment-17-1,1124,3 * 12 = ?,1,2310,2,2,5
Encode-Decode_Experiment-17-1,1075,76 + 27 = ?,1,10174,2,2,6
Encode-Decode_Experiment-17-1,1020,4 * 3 = ?,1,1940,2,2,7
Encode-Decode_Experiment-17-1,1100,59 - 13 = ?,1,3325,4,4,8
Encode-Decode_Experiment-17-1,1070,11 * 11 = ?,1,4285,2,2,9
Encode-Decode_Experiment-17-1,1041,7 * 9 = ?,1,5999,4,4,10
Encode-Decode_Experiment-17-1,1032,23 + 27 = ?,1,3180,3,3,11
Encode-Decode_Experiment-17-1,1038,10 * 8 = ?,1,1538,4,4,12
Encode-Decode_Experiment-17-1,1126,74 - 6 = ?,1,2658,3,3,13
Encode-Decode_Experiment-17-1,1093,100 - 53 = ?,1,2677,3,3,14
Encode-Decode_Experiment-17-1,1081,9 * 11 = ?,1,1895,3,3,15
Encode-Decode_Experiment-17-1,1104,55 + 31 = ?,1,3280,2,2,16
Encode-Decode_Experiment-17-1,1009,30 + 17 = ?,1,2442,1,1,17
Encode-Decode_Experiment-17-1,1133,68 + 50 = ?,0,5550,2,3,18
Encode-Decode_Experiment-17-1,1089,100 - 28 = ?,1,4397,2,2,19
Encode-Decode_Experiment-17-1,1004,8 * 4 = ?,1,3114,1,1,20
Encode-Decode_Experiment-17-1,1129,24 + 94 = ?,1,4395,2,2,21
Encode-Decode_Experiment-17-1,1099,79 + 52 = ?,1,8007,2,2,22
Encode-Decode_Experiment-17-1,1106,100 - 65 = ?,1,3220,4,4,23
Encode-Decode_Experiment-17-1,1067,45 - 39 = ?,0,5009,2,3,24
Encode-Decode_Experiment-17-1,1030,25 + 35 = ?,1,3934,3,3,25
Encode-Decode_Experiment-17-1,1039,13 + 3 = ?,1,3166,4,4,26
Encode-Decode_Experiment-17-1,1013,95 - 77 = ?,0,9476,4,2,27
Encode-Decode_Experiment-17-1,1102,100 - 63 = ?,1,6254,3,3,28
Encode-Decode_Experiment-17-1,1012,63 - 35 = ?,1,7346,1,1,29
Encode-Decode_Experiment-17-1,1115,51 + 17 = ?,1,3593,3,3,30
Encode-Decode_Experiment-17-1,1083,93 - 87 = ?,1,5279,1,1,31
Encode-Decode_Experiment-17-1,1031,11 * 10 = ?,1,3393,3,3,32
Encode-Decode_Experiment-17-1,1037,33 - 10 = ?,1,3270,4,4,33
Encode-Decode_Experiment-17-1,1112,87 - 40 = ?,1,3145,3,3,34
Encode-Decode_Experiment-17-1,1085,90 + 52 = ?,1,3840,4,4,35
Encode-Decode_Experiment-17-1,1114,100 - 12 = ?,1,2539,1,1,36
Encode-Decode_Experiment-17-1,1091,75 - 51 = ?,1,11939,1,1,37
Encode-Decode_Experiment-17-1,1018,33 + 47 = ?,1,4196,2,2,38
Encode-Decode_Experiment-17-1,1056,100 - 94 = ?,1,2001,4,4,39
Encode-Decode_Experiment-17-1,1132,46 - 11 = ?,1,2742,3,3,40
Encode-Decode_Experiment-17-1,1057,27 - 8 = ?,1,5110,2,2,41
Encode-Decode_Experiment-17-1,1045,27 + 38 = ?,1,4982,4,4,42
Encode-Decode_Experiment-17-1,1066,100 - 79 = ?,1,5443,1,1,43
Encode-Decode_Experiment-17-1,1139,46 + 97 = ?,1,6575,4,4,44
Encode-Decode_Experiment-17-1,1113,71 + 87 = ?,1,7293,1,1,45
Encode-Decode_Experiment-17-1,1109,80 - 17 = ?,0,0,,1,46
