SubjectID,StimID,CueText,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-9-1,2386442,teeth,1,9789,1,1,1
Encode-Decode_Experiment-9-1,2374670,spray-vehicle,1,6341,1,1,2
Encode-Decode_Experiment-9-1,2367132,video game,1,6727,3,3,3
Encode-Decode_Experiment-9-1,2349475,blender,1,9001,4,4,4
Encode-Decode_Experiment-9-1,2356991,baseball,1,8345,2,2,5
Encode-Decode_Experiment-9-1,2408717,surfboard,1,5651,4,4,6
Encode-Decode_Experiment-9-1,2411268,apple,1,7049,4,4,7
Encode-Decode_Experiment-9-1,2362704,bears,1,3366,1,1,8
Encode-Decode_Experiment-9-1,2347025,umbrella,1,7136,3,3,9
Encode-Decode_Experiment-9-1,2394020,horse ride,1,17704,1,1,10
Encode-Decode_Experiment-9-1,2344622,cat,1,6748,3,3,11
Encode-Decode_Experiment-9-1,2360001,clock,1,7790,2,2,12
Encode-Decode_Experiment-9-1,2345035,football,1,7181,4,4,13
Encode-Decode_Experiment-9-1,2371471,motorcycle,1,7629,3,3,14
Encode-Decode_Experiment-9-1,2385851,suitcase,1,4420,1,1,15
Encode-Decode_Experiment-9-1,2409918,elephant,1,6346,1,1,16
Encode-Decode_Experiment-9-1,2379478,baby-milk,1,4900,2,2,17
Encode-Decode_Experiment-9-1,2410309,laptop,1,3623,2,2,18
Encode-Decode_Experiment-9-1,2370664,donuts,1,3854,1,1,19
Encode-Decode_Experiment-9-1,150472,pizza,1,7812,3,3,20
Encode-Decode_Experiment-9-1,2369373,chef,1,6835,2,2,21
Encode-Decode_Experiment-9-1,2347400,wine,0,15825,3,4,22
Encode-Decode_Experiment-9-1,2383555,boat,1,6496,3,3,23
Encode-Decode_Experiment-9-1,2356125,airport,1,7555,3,3,24
Encode-Decode_Experiment-9-1,2387122,polar bear,1,3748,2,2,25
Encode-Decode_Experiment-9-1,2412687,dog,1,11798,3,3,26
Encode-Decode_Experiment-9-1,2385550,tangerines,0,5341,3,4,27
Encode-Decode_Experiment-9-1,2348899,tie,1,6927,4,4,28
Encode-Decode_Experiment-9-1,2397102,cake,1,5449,3,3,29
Encode-Decode_Experiment-9-1,2350974,drink,1,7005,4,4,30
