SubjectID,StimID,CueText,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-2-1,2369373,chef,0,15237,3,2,1
Encode-Decode_Experiment-2-1,2385550,tangerines,1,5620,4,4,2
Encode-Decode_Experiment-2-1,2383555,boat,1,3235,3,3,3
Encode-Decode_Experiment-2-1,150472,pizza,1,4657,3,3,4
Encode-Decode_Experiment-2-1,2356125,airport,1,4486,3,3,5
Encode-Decode_Experiment-2-1,2408717,surfboard,1,5579,4,4,6
Encode-Decode_Experiment-2-1,2350974,drink,1,7228,4,4,7
Encode-Decode_Experiment-2-1,2394020,horse ride,1,5819,1,1,8
Encode-Decode_Experiment-2-1,2362704,bears,1,4066,1,1,9
Encode-Decode_Experiment-2-1,2347400,wine,0,4095,3,4,10
Encode-Decode_Experiment-2-1,2347025,umbrella,1,5308,3,3,11
Encode-Decode_Experiment-2-1,2409918,elephant,1,5110,1,1,12
Encode-Decode_Experiment-2-1,2371471,motorcycle,1,5609,3,3,13
Encode-Decode_Experiment-2-1,2367132,video game,1,6112,3,3,14
Encode-Decode_Experiment-2-1,2374670,spray-vehicle,1,3739,1,1,15
Encode-Decode_Experiment-2-1,2387122,polar bear,1,5598,2,2,16
Encode-Decode_Experiment-2-1,2370664,donuts,1,3430,1,1,17
Encode-Decode_Experiment-2-1,2344622,cat,1,3413,3,3,18
Encode-Decode_Experiment-2-1,2379478,baby-milk,1,3276,2,2,19
Encode-Decode_Experiment-2-1,2411268,apple,1,4456,4,4,20
Encode-Decode_Experiment-2-1,2410309,laptop,1,5533,2,2,21
Encode-Decode_Experiment-2-1,2348899,tie,1,4638,4,4,22
Encode-Decode_Experiment-2-1,2397102,cake,1,3812,3,3,23
Encode-Decode_Experiment-2-1,2356991,baseball,1,4635,2,2,24
Encode-Decode_Experiment-2-1,2345035,football,0,4899,2,4,25
Encode-Decode_Experiment-2-1,2386442,teeth,1,6094,1,1,26
Encode-Decode_Experiment-2-1,2349475,blender,1,6498,4,4,27
Encode-Decode_Experiment-2-1,2360001,clock,1,7038,2,2,28
Encode-Decode_Experiment-2-1,2385851,suitcase,1,5621,1,1,29
Encode-Decode_Experiment-2-1,2412687,dog,1,6147,3,3,30
