SubjectID,StimID,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-19-1,1113,71 + 87 = ?,1,6008,1,1,1
Encode-Decode_Experiment-19-1,1142,12 * 8 = ?,1,3580,3,3,2
Encode-Decode_Experiment-19-1,1119,8 * 11 = ?,1,2466,3,3,3
Encode-Decode_Experiment-19-1,1139,46 + 97 = ?,1,7085,4,4,4
Encode-Decode_Experiment-19-1,1025,17 + 42 = ?,1,6359,3,3,5
Encode-Decode_Experiment-19-1,1065,35 + 45 = ?,0,10958,4,3,6
Encode-Decode_Experiment-19-1,1141,90 - 63 = ?,1,11053,4,4,7
Encode-Decode_Experiment-19-1,1080,31 + 56 = ?,1,7712,2,2,8
Encode-Decode_Experiment-19-1,1146,100 - 80 = ?,1,2721,3,3,9
Encode-Decode_Experiment-19-1,1031,11 * 10 = ?,1,2610,3,3,10
Encode-Decode_Experiment-19-1,1134,100 - 4 = ?,1,2942,4,4,11
Encode-Decode_Experiment-19-1,1035,49 + 30 = ?,0,6501,4,3,12
Encode-Decode_Experiment-19-1,1063,52 + 33 = ?,1,7910,2,2,13
Encode-Decode_Experiment-19-1,1044,12 * 9 = ?,1,3759,4,4,14
Encode-Decode_Experiment-19-1,1131,45 + 16 = ?,0,7989,1,2,15
Encode-Decode_Experiment-19-1,1136,4 * 10 = ?,1,3214,4,4,16
Encode-Decode_Experiment-19-1,1013,95 - 77 = ?,1,13840,2,2,17
Encode-Decode_Experiment-19-1,1109,80 - 17 = ?,1,9468,1,1,18
Encode-Decode_Experiment-19-1,1104,55 + 31 = ?,0,5182,1,2,19
Encode-Decode_Experiment-19-1,1073,30 - 27 = ?,1,7340,1,1,20
Encode-Decode_Experiment-19-1,1099,79 + 52 = ?,1,11092,2,2,21
Encode-Decode_Experiment-19-1,1066,100 - 79 = ?,1,4573,1,1,22
Encode-Decode_Experiment-19-1,1041,7 * 9 = ?,1,5468,4,4,23
Encode-Decode_Experiment-19-1,1070,11 * 11 = ?,1,3751,2,2,24
Encode-Decode_Experiment-19-1,1039,13 + 3 = ?,1,3510,4,4,25
Encode-Decode_Experiment-19-1,1049,100 - 36 = ?,0,4631,3,1,26
Encode-Decode_Experiment-19-1,1055,40 - 24 = ?,1,3587,3,3,27
Encode-Decode_Experiment-19-1,1019,3 * 10 = ?,1,2081,2,2,28
Encode-Decode_Experiment-19-1,1027,33 + 12 = ?,1,2699,3,3,29
Encode-Decode_Experiment-19-1,1014,48 - 14 = ?,1,2980,2,2,30
Encode-Decode_Experiment-19-1,1108,5 * 11 = ?,1,2481,3,3,31
Encode-Decode_Experiment-19-1,1009,30 + 17 = ?,1,4395,1,1,32
Encode-Decode_Experiment-19-1,1118,96 - 9 = ?,1,9065,3,3,33
Encode-Decode_Experiment-19-1,1045,27 + 38 = ?,1,6283,4,4,34
Encode-Decode_Experiment-19-1,1115,51 + 17 = ?,1,3334,3,3,35
Encode-Decode_Experiment-19-1,1053,60 + 11 = ?,1,2782,3,3,36
Encode-Decode_Experiment-19-1,1147,28 + 37 = ?,1,4204,2,2,37
Encode-Decode_Experiment-19-1,1107,95 - 2 = ?,1,3249,3,3,38
Encode-Decode_Experiment-19-1,1042,34 + 34 = ?,0,5044,1,4,39
Encode-Decode_Experiment-19-1,1135,56 - 30 = ?,1,4032,3,3,40
Encode-Decode_Experiment-19-1,1112,87 - 40 = ?,0,0,,3,41
