SubjectID,StimID,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-24-1,1141,90 - 63 = ?,0,1732,2,4,1
Encode-Decode_Experiment-24-1,1096,12 * 11 = ?,0,3549,1,4,2
Encode-Decode_Experiment-24-1,1139,46 + 97 = ?,1,3348,4,4,3
Encode-Decode_Experiment-24-1,1116,35 - 24 = ?,0,3787,1,2,4
Encode-Decode_Experiment-24-1,1142,12 * 8 = ?,1,3521,3,3,5
Encode-Decode_Experiment-24-1,1145,12 * 4 = ?,1,1378,1,1,6
Encode-Decode_Experiment-24-1,1064,67 + 72 = ?,1,4544,2,2,7
Encode-Decode_Experiment-24-1,1090,7 * 7 = ?,1,1759,4,4,8
Encode-Decode_Experiment-24-1,1068,7 * 10 = ?,1,1406,2,2,9
Encode-Decode_Experiment-24-1,1098,37 + 22 = ?,0,2939,2,3,10
Encode-Decode_Experiment-24-1,1022,97 - 86 = ?,1,3931,2,2,11
Encode-Decode_Experiment-24-1,1082,100 - 3 = ?,1,1747,2,2,12
Encode-Decode_Experiment-24-1,1046,8 * 9 = ?,1,2874,4,4,13
Encode-Decode_Experiment-24-1,1063,52 + 33 = ?,0,3117,3,2,14
Encode-Decode_Experiment-24-1,1051,73 - 29 = ?,0,3646,2,3,15
Encode-Decode_Experiment-24-1,1124,3 * 12 = ?,1,1761,2,2,16
Encode-Decode_Experiment-24-1,1113,71 + 87 = ?,0,3928,2,1,17
Encode-Decode_Experiment-24-1,1091,75 - 51 = ?,1,2440,1,1,18
Encode-Decode_Experiment-24-1,1047,100 - 50 = ?,1,1931,4,4,19
Encode-Decode_Experiment-24-1,1058,84 + 92 = ?,0,2011,2,4,20
Encode-Decode_Experiment-24-1,1122,39 + 39 = ?,1,4424,2,2,21
Encode-Decode_Experiment-24-1,1140,10 * 12 = ?,0,4516,1,2,22
Encode-Decode_Experiment-24-1,1133,68 + 50 = ?,1,4965,3,3,23
Encode-Decode_Experiment-24-1,1078,56 + 15 = ?,1,3932,1,1,24
Encode-Decode_Experiment-24-1,1114,100 - 12 = ?,0,4356,4,1,25
Encode-Decode_Experiment-24-1,1100,59 - 13 = ?,1,4107,4,4,26
Encode-Decode_Experiment-24-1,1048,75 - 34 = ?,1,1876,4,4,27
Encode-Decode_Experiment-24-1,1115,51 + 17 = ?,1,1758,3,3,28
Encode-Decode_Experiment-24-1,1019,3 * 10 = ?,1,1189,2,2,29
Encode-Decode_Experiment-24-1,1072,44 + 41 = ?,1,3411,2,2,30
Encode-Decode_Experiment-24-1,1001,42 + 25 = ?,1,2951,1,1,31
Encode-Decode_Experiment-24-1,1077,92 - 54 = ?,0,5055,1,3,32
Encode-Decode_Experiment-24-1,1076,12 * 12 = ?,1,1609,2,2,33
Encode-Decode_Experiment-24-1,1137,97 - 87 = ?,1,1918,2,2,34
Encode-Decode_Experiment-24-1,1008,39 + 30 = ?,1,1942,1,1,35
Encode-Decode_Experiment-24-1,1031,11 * 10 = ?,1,2973,3,3,36
Encode-Decode_Experiment-24-1,1029,91 - 36 = ?,0,5852,2,3,37
Encode-Decode_Experiment-24-1,1071,8 * 12 = ?,1,1991,3,3,38
Encode-Decode_Experiment-24-1,1135,56 - 30 = ?,1,3485,3,3,39
Encode-Decode_Experiment-24-1,1081,9 * 11 = ?,1,2807,3,3,40
Encode-Decode_Experiment-24-1,1129,24 + 94 = ?,1,2028,2,2,41
Encode-Decode_Experiment-24-1,1108,5 * 11 = ?,1,1264,3,3,42
Encode-Decode_Experiment-24-1,1067,45 - 39 = ?,1,6987,3,3,43
Encode-Decode_Experiment-24-1,1032,23 + 27 = ?,1,5145,3,3,44
Encode-Decode_Experiment-24-1,1106,100 - 65 = ?,1,3424,4,4,45
Encode-Decode_Experiment-24-1,1101,9 * 10 = ?,1,1804,3,3,46
Encode-Decode_Experiment-24-1,1030,25 + 35 = ?,1,4378,3,3,47
Encode-Decode_Experiment-24-1,1123,67 - 37 = ?,1,5208,3,3,48
Encode-Decode_Experiment-24-1,1037,33 - 10 = ?,1,1981,4,4,49
Encode-Decode_Experiment-24-1,1017,58 - 37 = ?,1,4155,2,2,50
Encode-Decode_Experiment-24-1,1050,23 + 28 = ?,1,2722,2,2,51
Encode-Decode_Experiment-24-1,1080,31 + 56 = ?,1,3307,2,2,52
Encode-Decode_Experiment-24-1,1121,100 - 71 = ?,1,4108,3,3,53
Encode-Decode_Experiment-24-1,1126,74 - 6 = ?,1,3436,3,3,54
Encode-Decode_Experiment-24-1,1044,12 * 9 = ?,1,3984,4,4,55
Encode-Decode_Experiment-24-1,1043,8 * 10 = ?,1,2047,4,4,56
Encode-Decode_Experiment-24-1,1021,46 + 1 = ?,1,1434,2,2,57
Encode-Decode_Experiment-24-1,1053,60 + 11 = ?,1,2110,3,3,58
Encode-Decode_Experiment-24-1,1042,34 + 34 = ?,0,0,,4,59
Encode-Decode_Experiment-24-1,1020,4 * 3 = ?,0,0,,2,60
