SubjectID,StimID,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-1-1,1087,27 + 85 = ?,1,17857,1,1,1
Encode-Decode_Experiment-1-1,1098,37 + 22 = ?,1,8292,3,3,2
Encode-Decode_Experiment-1-1,1038,10 * 8 = ?,1,2341,4,4,3
Encode-Decode_Experiment-1-1,1095,32 + 74 = ?,1,5661,2,2,4
Encode-Decode_Experiment-1-1,1080,31 + 56 = ?,1,5346,2,2,5
Encode-Decode_Experiment-1-1,1057,27 - 8 = ?,1,4936,2,2,6
Encode-Decode_Experiment-1-1,1099,79 + 52 = ?,0,16712,3,2,7
Encode-Decode_Experiment-1-1,1141,90 - 63 = ?,1,9968,4,4,8
Encode-Decode_Experiment-1-1,1093,100 - 53 = ?,1,7278,3,3,9
Encode-Decode_Experiment-1-1,1078,56 + 15 = ?,1,5096,1,1,10
Encode-Decode_Experiment-1-1,1118,96 - 9 = ?,1,9746,3,3,11
Encode-Decode_Experiment-1-1,1134,100 - 4 = ?,1,2705,4,4,12
Encode-Decode_Experiment-1-1,1013,95 - 77 = ?,1,34443,2,2,13
Encode-Decode_Experiment-1-1,1032,23 + 27 = ?,0,7974,2,3,14
Encode-Decode_Experiment-1-1,1043,8 * 10 = ?,1,1844,4,4,15
Encode-Decode_Experiment-1-1,1115,51 + 17 = ?,1,7160,3,3,16
Encode-Decode_Experiment-1-1,1015,6 * 8 = ?,1,2927,2,2,17
Encode-Decode_Experiment-1-1,1129,24 + 94 = ?,1,4919,2,2,18
Encode-Decode_Experiment-1-1,1148,21 - 18 = ?,1,5558,2,2,19
Encode-Decode_Experiment-1-1,1059,38 - 25 = ?,1,6261,3,3,20
Encode-Decode_Experiment-1-1,1044,12 * 9 = ?,0,17264,2,4,21
Encode-Decode_Experiment-1-1,1074,100 - 47 = ?,1,3579,4,4,22
Encode-Decode_Experiment-1-1,1019,3 * 10 = ?,1,1321,2,2,23
Encode-Decode_Experiment-1-1,1122,39 + 39 = ?,1,8865,2,2,24
Encode-Decode_Experiment-1-1,1025,17 + 42 = ?,1,6244,3,3,25
Encode-Decode_Experiment-1-1,1145,12 * 4 = ?,1,5384,1,1,26
Encode-Decode_Experiment-1-1,1128,49 + 86 = ?,1,7894,1,1,27
Encode-Decode_Experiment-1-1,1070,11 * 11 = ?,1,3767,2,2,28
Encode-Decode_Experiment-1-1,1132,46 - 11 = ?,1,8262,3,3,29
Encode-Decode_Experiment-1-1,1088,73 + 58 = ?,0,0,,1,30
Encode-Decode_Experiment-1-1,1147,28 + 37 = ?,0,0,,2,31
