SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std
Encode-Decode_Experiment-1-1,2348899,encoding,4.591028,0.75,0.2456,0.109866
Encode-Decode_Experiment-10-1,2348899,encoding,4.18893,0.608696,0.217739,0.093331
Encode-Decode_Experiment-11-1,2348899,encoding,3.835123,0.52,0.19808,0.08394
Encode-Decode_Experiment-12-1,2348899,encoding,1.566717,0.75,0.496167,0.162016
Encode-Decode_Experiment-13-1,2348899,encoding,2.057856,0.47619,0.250286,0.109777
Encode-Decode_Experiment-14-1,2348899,encoding,4.824092,0.730769,0.279808,0.093481
Encode-Decode_Experiment-15-1,2348899,encoding,2.156522,0.5,0.255389,0.113428
Encode-Decode_Experiment-16-1,2348899,encoding,1.436115,0.333333,0.200792,0.092292
Encode-Decode_Experiment-17-1,2348899,encoding,1.655856,0.533333,0.3126,0.133305
Encode-Decode_Experiment-18-1,2348899,encoding,5.317694,0.653846,0.198538,0.085621
Encode-Decode_Experiment-19-1,2348899,encoding,3.554172,0.684211,0.286,0.11204
Encode-Decode_Experiment-2-1,2348899,encoding,3.657238,0.761905,0.329381,0.118265
Encode-Decode_Experiment-3-1,2348899,encoding,3.279277,0.608696,0.268304,0.103801
Encode-Decode_Experiment-4-1,2348899,encoding,3.054412,0.571429,0.249762,0.105312
Encode-Decode_Experiment-5-1,2348899,encoding,3.614014,0.541667,0.202875,0.093744
Encode-Decode_Experiment-6-1,2348899,encoding,4.483277,0.75,0.28625,0.10344
Encode-Decode_Experiment-7-1,2348899,encoding,4.361161,0.65,0.1934,0.104697
Encode-Decode_Experiment-8-1,2348899,encoding,3.753047,0.571429,0.248143,0.08614
Encode-Decode_Experiment-9-1,2348899,encoding,-0.024969,0.5,0.505,0.20025
