SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std
Encode-Decode_Experiment-1-1,2412687,encoding,2.830765,0.666667,0.3048,0.127834
Encode-Decode_Experiment-10-1,2412687,encoding,0.594297,0.416667,0.326083,0.152421
Encode-Decode_Experiment-11-1,2412687,encoding,0.152419,0.357143,0.334429,0.149025
Encode-Decode_Experiment-12-1,2412687,encoding,1.598289,0.6,0.370667,0.143487
Encode-Decode_Experiment-13-1,2412687,encoding,1.426439,0.684211,0.489789,0.136298
Encode-Decode_Experiment-14-1,2412687,encoding,-0.388971,0.375,0.430187,0.141881
Encode-Decode_Experiment-15-1,2412687,encoding,2.720342,0.647059,0.313882,0.122476
Encode-Decode_Experiment-16-1,2412687,encoding,3.53271,0.666667,0.292619,0.105881
Encode-Decode_Experiment-2-1,2412687,encoding,-0.084703,0.375,0.387062,0.142409
Encode-Decode_Experiment-3-1,2412687,encoding,0.436011,0.526316,0.470526,0.127954
Encode-Decode_Experiment-4-1,2412687,encoding,2.404333,0.428571,0.211333,0.090353
Encode-Decode_Experiment-5-1,2412687,encoding,1.843859,0.526316,0.310474,0.11706
Encode-Decode_Experiment-6-1,2412687,encoding,1.019623,0.466667,0.328933,0.135083
Encode-Decode_Experiment-7-1,2412687,encoding,2.394665,0.615385,0.283,0.138802
Encode-Decode_Experiment-8-1,2412687,encoding,1.064625,0.533333,0.3844,0.139893
Encode-Decode_Experiment-9-1,2412687,encoding,1.948937,0.8,0.4648,0.171991
