SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std
Encode-Decode_Experiment-1-1,2360001,encoding,-0.770094,0.041667,0.092708,0.06628
Encode-Decode_Experiment-10-1,2360001,encoding,2.026076,0.285714,0.104571,0.089406
Encode-Decode_Experiment-11-1,2360001,encoding,1.051911,0.214286,0.137321,0.073166
Encode-Decode_Experiment-12-1,2360001,encoding,1.04886,0.333333,0.215133,0.112694
Encode-Decode_Experiment-13-1,2360001,encoding,0.852272,0.178571,0.120893,0.067676
Encode-Decode_Experiment-14-1,2360001,encoding,2.320179,0.269231,0.1145,0.066689
Encode-Decode_Experiment-15-1,2360001,encoding,0.797404,0.217391,0.152087,0.081896
Encode-Decode_Experiment-16-1,2360001,encoding,1.054606,0.235294,0.144294,0.086288
Encode-Decode_Experiment-17-1,2360001,encoding,0.585336,0.153846,0.117192,0.06262
Encode-Decode_Experiment-18-1,2360001,encoding,0.674193,0.185185,0.138259,0.069603
Encode-Decode_Experiment-19-1,2360001,encoding,0.071524,0.142857,0.138,0.067909
Encode-Decode_Experiment-2-1,2360001,encoding,3.586813,0.190476,0.03481,0.0434
Encode-Decode_Experiment-3-1,2360001,encoding,3.495624,0.407407,0.152556,0.072906
Encode-Decode_Experiment-4-1,2360001,encoding,2.558547,0.28,0.11396,0.064896
Encode-Decode_Experiment-5-1,2360001,encoding,0.680193,0.166667,0.124367,0.062188
Encode-Decode_Experiment-6-1,2360001,encoding,0.094561,0.16,0.15292,0.074872
Encode-Decode_Experiment-7-1,2360001,encoding,-0.923181,0.043478,0.10513,0.066782
Encode-Decode_Experiment-8-1,2360001,encoding,3.005024,0.321429,0.124821,0.065426
Encode-Decode_Experiment-9-1,2360001,encoding,0.267261,0.178571,0.158571,0.074833
