SubjectID,StimID,TrialID,QuestionNumber,q_accuracy,svg_z_inter_dec,svg_z_all_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,PresentOrder,svg_z_inter_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-1-1,2370664,Encode-Decode_Experiment-1-1_2370664,1.0,0.0,,,13,1.0,0.113094,False,2.0,1.0,,0.13050614124171833,0.41061976358289315,-0.467320564407499
Encode-Decode_Experiment-1-1,2370664,Encode-Decode_Experiment-1-1_2370664,2.0,0.0,,,13,1.0,0.113094,False,2.0,2.0,,0.13050614124171833,0.41061976358289315,-0.467320564407499
Encode-Decode_Experiment-1-1,2410309,Encode-Decode_Experiment-1-1_2410309,1.0,1.0,,,21,1.0,0.183814,False,2.0,2.0,,2.4084315156426173,0.41061976358289315,0.079209784271499
Encode-Decode_Experiment-1-1,2410309,Encode-Decode_Experiment-1-1_2410309,2.0,1.0,,,21,1.0,0.183814,False,2.0,1.0,,2.4084315156426173,0.41061976358289315,0.079209784271499
Encode-Decode_Experiment-1-1,2394020,Encode-Decode_Experiment-1-1_2394020,1.0,1.0,-0.350771,0.354202,9,0.8889,0.192867,False,3.0,1.0,-0.3378000534081736,-1.0084565459587311,-1.356830523143472,0.14917216049591883
Encode-Decode_Experiment-1-1,2394020,Encode-Decode_Experiment-1-1_2394020,2.0,1.0,-0.350771,0.354202,9,0.8889,0.192867,False,3.0,2.0,-0.3378000534081736,-1.0084565459587311,-1.356830523143472,0.14917216049591883
Encode-Decode_Experiment-1-1,2348899,Encode-Decode_Experiment-1-1_2348899,1.0,1.0,3.938627,2.369161,17,1.0,0.111402,False,3.0,2.0,1.91378153484814,1.2694688284421678,0.41061976358289315,-0.4803964884737442
Encode-Decode_Experiment-1-1,2348899,Encode-Decode_Experiment-1-1_2348899,2.0,1.0,3.938627,2.369161,17,1.0,0.111402,False,3.0,1.0,1.91378153484814,1.2694688284421678,0.41061976358289315,-0.4803964884737442
Encode-Decode_Experiment-1-1,2362704,Encode-Decode_Experiment-1-1_2362704,1.0,1.0,-0.634966,-0.589359,17,1.0,0.121488,False,3.0,1.0,-0.48697908260399625,1.2694688284421678,0.41061976358289315,-0.40245099785190636
Encode-Decode_Experiment-1-1,2362704,Encode-Decode_Experiment-1-1_2362704,2.0,1.0,-0.634966,-0.589359,17,1.0,0.121488,False,3.0,2.0,-0.48697908260399625,1.2694688284421678,0.41061976358289315,-0.40245099785190636
Encode-Decode_Experiment-1-1,2409918,Encode-Decode_Experiment-1-1_2409918,1.0,1.0,-0.306485,-0.609254,13,1.0,0.090043,False,2.0,2.0,-0.3145535413760612,0.13050614124171833,0.41061976358289315,-0.6454607095913165
Encode-Decode_Experiment-1-1,2409918,Encode-Decode_Experiment-1-1_2409918,2.0,1.0,-0.306485,-0.609254,13,1.0,0.090043,False,2.0,1.0,-0.3145535413760612,0.13050614124171833,0.41061976358289315,-0.6454607095913165
Encode-Decode_Experiment-1-1,2408717,Encode-Decode_Experiment-1-1_2408717,1.0,0.0,-1.088019,-1.02598,13,1.0,0.094577,False,1.0,1.0,-0.7247946905994044,0.13050614124171833,0.41061976358289315,-0.6104215608227846
Encode-Decode_Experiment-1-1,2408717,Encode-Decode_Experiment-1-1_2408717,2.0,1.0,-1.088019,-1.02598,13,1.0,0.094577,False,1.0,2.0,-0.7247946905994044,0.13050614124171833,0.41061976358289315,-0.6104215608227846
Encode-Decode_Experiment-1-1,2385851,Encode-Decode_Experiment-1-1_2385851,1.0,1.0,,-0.859908,10,1.0,0.154989,False,3.0,2.0,,-0.7237158741586188,0.41061976358289315,-0.14355233819275615
Encode-Decode_Experiment-1-1,2385851,Encode-Decode_Experiment-1-1_2385851,2.0,0.0,,-0.859908,10,1.0,0.154989,False,3.0,1.0,,-0.7237158741586188,0.41061976358289315,-0.14355233819275615
Encode-Decode_Experiment-1-1,2379478,Encode-Decode_Experiment-1-1_2379478,1.0,0.0,0.017059,-1.042553,9,1.0,0.730578,False,3.0,1.0,-0.14471951958773543,-1.0084565459587311,0.41061976358289315,4.304649823371097
Encode-Decode_Experiment-1-1,2379478,Encode-Decode_Experiment-1-1_2379478,2.0,1.0,0.017059,-1.042553,9,1.0,0.730578,False,3.0,2.0,-0.14471951958773543,-1.0084565459587311,0.41061976358289315,4.304649823371097
Encode-Decode_Experiment-1-1,2345035,Encode-Decode_Experiment-1-1_2345035,1.0,1.0,,,9,1.0,0.210994,False,3.0,2.0,,-1.0084565459587311,0.41061976358289315,0.28925920278245987
Encode-Decode_Experiment-1-1,2345035,Encode-Decode_Experiment-1-1_2345035,2.0,1.0,,,9,1.0,0.210994,False,3.0,1.0,,-1.0084565459587311,0.41061976358289315,0.28925920278245987
Encode-Decode_Experiment-2-1,2408717,Encode-Decode_Experiment-2-1_2408717,1.0,1.0,,1.596354,14,1.0,0.049776,False,2.0,1.0,,0.4152468130418307,0.41061976358289315,-0.9566476093404287
Encode-Decode_Experiment-2-1,2408717,Encode-Decode_Experiment-2-1_2408717,2.0,1.0,,1.596354,14,1.0,0.049776,False,2.0,2.0,,0.4152468130418307,0.41061976358289315,-0.9566476093404287
Encode-Decode_Experiment-2-1,2371471,Encode-Decode_Experiment-2-1_2371471,1.0,0.0,,,15,1.0,0.447701,False,2.0,2.0,,0.6999874848419431,0.41061976358289315,2.118551612917635
Encode-Decode_Experiment-2-1,2371471,Encode-Decode_Experiment-2-1_2371471,2.0,1.0,,,15,1.0,0.447701,False,2.0,1.0,,0.6999874848419431,0.41061976358289315,2.118551612917635
Encode-Decode_Experiment-2-1,2383555,Encode-Decode_Experiment-2-1_2383555,1.0,1.0,-0.648624,-0.671506,16,1.0,0.141545,False,3.0,1.0,-0.49414841063846743,0.9847281566420555,0.41061976358289315,-0.24744874667183475
Encode-Decode_Experiment-2-1,2383555,Encode-Decode_Experiment-2-1_2383555,2.0,0.0,-0.648624,-0.671506,16,1.0,0.141545,False,3.0,2.0,-0.49414841063846743,0.9847281566420555,0.41061976358289315,-0.24744874667183475
Encode-Decode_Experiment-2-1,2360001,Encode-Decode_Experiment-2-1_2360001,1.0,1.0,0.982195,0.969311,9,1.0,0.314649,False,4.0,2.0,0.3618975972578791,-1.0084565459587311,0.41061976358289315,1.090314113590174
Encode-Decode_Experiment-2-1,2360001,Encode-Decode_Experiment-2-1_2360001,2.0,1.0,0.982195,0.969311,9,1.0,0.314649,False,4.0,1.0,0.3618975972578791,-1.0084565459587311,0.41061976358289315,1.090314113590174
Encode-Decode_Experiment-2-1,2347025,Encode-Decode_Experiment-2-1_2347025,1.0,1.0,,0.498348,14,0.9286,0.144512,False,1.0,2.0,,0.4152468130418307,-0.7252573783816662,-0.22451951103084797
Encode-Decode_Experiment-2-1,2347025,Encode-Decode_Experiment-2-1_2347025,2.0,1.0,,0.498348,14,0.9286,0.144512,False,1.0,1.0,,0.4152468130418307,-0.7252573783816662,-0.22451951103084797
Encode-Decode_Experiment-2-1,2348899,Encode-Decode_Experiment-2-1_2348899,1.0,1.0,,,18,1.0,0.065708,False,1.0,1.0,,1.5542095002422802,0.41061976358289315,-0.8335237191374621
Encode-Decode_Experiment-2-1,2348899,Encode-Decode_Experiment-2-1_2348899,2.0,0.0,,,18,1.0,0.065708,False,1.0,2.0,,1.5542095002422802,0.41061976358289315,-0.8335237191374621
Encode-Decode_Experiment-2-1,2410309,Encode-Decode_Experiment-2-1_2410309,1.0,1.0,-0.734635,-0.734162,12,1.0,0.120361,False,4.0,2.0,-0.5392971200814974,-0.15423453055839403,0.41061976358289315,-0.411160552475227
Encode-Decode_Experiment-2-1,2410309,Encode-Decode_Experiment-2-1_2410309,2.0,0.0,-0.734635,-0.734162,12,1.0,0.120361,False,4.0,1.0,-0.5392971200814974,-0.15423453055839403,0.41061976358289315,-0.411160552475227
Encode-Decode_Experiment-2-1,2412687,Encode-Decode_Experiment-2-1_2412687,1.0,1.0,-0.744874,-0.804365,16,1.0,0.233544,False,2.0,2.0,-0.5446717539770128,0.9847281566420555,0.41061976358289315,0.4635275761239674
Encode-Decode_Experiment-2-1,2412687,Encode-Decode_Experiment-2-1_2412687,2.0,0.0,-0.744874,-0.804365,16,1.0,0.233544,False,2.0,1.0,-0.5446717539770128,0.9847281566420555,0.41061976358289315,0.4635275761239674
Encode-Decode_Experiment-2-1,2370664,Encode-Decode_Experiment-2-1_2370664,1.0,1.0,,,11,0.8182,0.173172,False,2.0,1.0,,-0.4389752023585064,-2.481571614696614,-0.003032523005677227
Encode-Decode_Experiment-2-1,2370664,Encode-Decode_Experiment-2-1_2370664,2.0,1.0,,,11,0.8182,0.173172,False,2.0,2.0,,-0.4389752023585064,-2.481571614696614,-0.003032523005677227
Encode-Decode_Experiment-2-1,2385550,Encode-Decode_Experiment-2-1_2385550,1.0,1.0,,,7,1.0,0.37201,False,2.0,2.0,,-1.577937889558956,0.41061976358289315,1.5336049412284092
Encode-Decode_Experiment-2-1,2385550,Encode-Decode_Experiment-2-1_2385550,2.0,0.0,,,7,1.0,0.37201,False,2.0,1.0,,-1.577937889558956,0.41061976358289315,1.5336049412284092
Encode-Decode_Experiment-2-1,2367132,Encode-Decode_Experiment-2-1_2367132,1.0,1.0,,,9,1.0,0.061694,False,1.0,2.0,,-1.0084565459587311,0.41061976358289315,-0.8645442624010014
Encode-Decode_Experiment-2-1,2367132,Encode-Decode_Experiment-2-1_2367132,2.0,1.0,,,9,1.0,0.061694,False,1.0,1.0,,-1.0084565459587311,0.41061976358289315,-0.8645442624010014
