model,term,coef,std_err,z_or_t,p,ci_lower,ci_upper
H1_svg_enc,Intercept,1.3123391388400703,6.368952152041335e-10,2060525982.1577523,0.0,1.3123391375917786,1.312339140088362
H1_svg_enc,StimID Var,1.0,,,,,
H2_total,Intercept,0.5513212363938106,0.011083218798175481,49.74378350128476,0.0,0.5295985267166093,0.5730439460710118
H2_total,svg_z_enc_within_z,0.0314597030773717,0.011484682530596382,2.7392749423904226,0.0061574856108613275,0.008950138943526462,0.053969267211216934
H2_total,n_fixations_enc_z,0.02994462324183977,0.01135594761673049,2.636911004918952,0.008366477809282624,0.007687374902724548,0.05220187158095499
H2_total,aoi_prop_enc_z,0.000986941261143345,0.011468904787530635,0.08605366244005963,0.9314237589360704,-0.0214916990645357,0.02346558158682239
H2_total,mean_salience_relational_enc_z,0.007276749375972477,0.011178737421563483,0.650945549712602,0.5150816365132561,-0.014633173362922098,0.029186672114867054
H2_total,enc_total_correct_z,0.017316898334057203,0.011038789681810419,1.5687316121795285,0.11671048935894414,-0.0043187318752035825,0.03895252854331799
H2_total,svg_z_enc_image_mean_z,0.003975161617941594,0.011392781394877847,0.3489193270862559,0.7271498750473833,-0.018354279599756985,0.026304602835640175
H2_total,StimID Var,1.0,,,,,
H2_relations,Intercept,0.46959492434877864,0.0118421195504027,39.65463465810136,0.0,0.4463847965293717,0.4928050521681856
H2_relations,svg_z_enc_within_z,0.030613697811696504,0.012271072691277382,2.49478579272516,0.012603318789483418,0.006562837285119843,0.05466455833827316
H2_relations,n_fixations_enc_z,0.029953115926347567,0.012133522917328894,2.4686248281254763,0.013563333688603768,0.006171848002791566,0.05373438384990357
H2_relations,aoi_prop_enc_z,0.0065979486963437806,0.012254214599506165,0.538422813046678,0.5902851801982316,-0.017419870577513225,0.030615767970200786
H2_relations,mean_salience_relational_enc_z,0.006145616120706709,0.011944178616279515,0.5145281494979018,0.6068827848516682,-0.0172645437921146,0.029555776033528016
H2_relations,enc_total_correct_z,0.019346348963886716,0.011794648241111413,1.6402650226102635,0.1009500748405563,-0.003770736799010351,0.04246343472678378
H2_relations,svg_z_enc_image_mean_z,0.020841754083248277,0.012172878813143731,1.7121466830627017,0.08686964013773119,-0.0030166499786841126,0.04470015814518066
H2_relations,StimID Var,1.0,,,,,
H2_objects,Intercept,0.5455821322169813,0.011045983375400003,49.39190234814421,0.0,0.5239324026273691,0.5672318618065935
H2_objects,svg_z_enc_within_z,0.032356416161821985,0.011446098341539387,2.826851141440601,0.0047008174293565845,0.009922475648901145,0.05479035667474283
H2_objects,n_fixations_enc_z,0.014445274598712449,0.011317795928288252,1.2763328381462704,0.20183788668292746,-0.007737197805106594,0.03662774700253149
H2_objects,aoi_prop_enc_z,0.0020314201073107657,0.011430373605722195,0.17772123443924964,0.8589419080488967,-0.020371700489741972,0.024434540704363506
H2_objects,mean_salience_relational_enc_z,0.000493225036521823,0.011141181092344729,0.0442704442584391,0.9646888306329449,-0.021343088649712464,0.02232953872275611
H2_objects,enc_total_correct_z,0.015980508516085394,0.011001703524060056,1.4525485513345269,0.1463491396033349,-0.005582434159659706,0.037543451191830494
H2_objects,svg_z_enc_image_mean_z,-0.012194665474714898,0.01135450595887396,-1.0739934893586738,0.2828255995903194,-0.03444908821635329,0.010059757266923498
H2_objects,StimID Var,1.0,,,,,
EXP_dissociation,Intercept,0.5454705165161838,0.01146893804549934,47.560682109555756,0.0,0.5229918110060839,0.5679492220262837
EXP_dissociation,svg_z_enc_within_z,0.0309367927649771,0.01183506871144833,2.613993506860779,0.008949073724284584,0.007740484335981509,0.05413310119397269
EXP_dissociation,memory_type,-0.07576397646660712,0.009628784643869986,-7.868488004334074,3.58952966083807e-15,-0.09463604758348462,-0.05689190534972962
EXP_dissociation,svg_z_enc_within_z:memory_type,0.00106883100920323,0.009761310954722921,0.10949666639664686,0.9128085657026446,-0.018062986903949984,0.020200648922356446
EXP_dissociation,n_fixations_enc_z,0.02218944808521595,0.010660990748163606,2.0813682901880544,0.03740020881111886,0.001294290179300557,0.04308460599113134
EXP_dissociation,aoi_prop_enc_z,0.0043127899190128615,0.010767035209927845,0.400555012120348,0.6887477733906622,-0.016790211312720377,0.025415791150746096
EXP_dissociation,mean_salience_relational_enc_z,0.003317950181829553,0.010494584552153869,0.3161583162573682,0.7518823449968787,-0.01725105757310244,0.02388695793676155
EXP_dissociation,enc_total_correct_z,0.017655673117772455,0.010363242121276208,1.7036823912011623,0.08844043958833674,-0.0026559082029973848,0.03796725443854229
EXP_dissociation,svg_z_enc_image_mean_z,0.0043216459312644005,0.010695570387071977,0.4040594166429955,0.6861690272637626,-0.0166412868215098,0.025284578684038602
EXP_dissociation,StimID Var,1.836808659122491,0.2001058334771764,9.179185969768309,4.343624640428872e-20,1.444608432410856,2.2290088858341264
