SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,lcs_enc_dec_z,tau_enc_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-1-1,2410309,1.990765,0.730909,36,0.9444,0.285861,False,0.664864,-2.080411,23,1.0,0.176868,False,5.0,0.6,0.2,2.0,3.0,1.0,0.0,3.0,1.0,0.0,70.0,0.09265882009024706,-0.1391144685850657,1.9392345331520866,0.610208466671487,0.38272850166223227
Encode-Decode_Experiment-1-1,2356125,1.74309,1.09801,34,0.9706,0.284523,False,,,18,1.0,0.071504,False,3.0,0.5,0.333333,4.0,7.0,0.0,0.0,4.0,1.0,0.0,122.0,-0.34282759941566715,0.047710288121820904,0.9003588903920402,0.610208466671487,-0.7949608568875385
Encode-Decode_Experiment-1-1,2348899,4.695271,4.992679,32,1.0,0.205595,False,0.123366,0.478218,17,0.9412,0.12461,False,3.0,0.4,-0.333333,5.0,6.0,0.0,0.0,5.0,1.0,0.0,161.0,-0.7783140189215814,-0.8864148966017905,0.692583761840031,0.013924629866148577,-0.2013769850229156
Encode-Decode_Experiment-1-1,2350974,4.514891,5.032661,38,0.8158,0.278012,False,-0.486995,-0.430392,17,1.0,0.211749,False,4.0,0.4,-0.666667,2.0,4.0,0.0,1.0,2.0,1.0,0.0,46.0,-0.7783140189215814,-1.3534788901527746,0.692583761840031,0.610208466671487,0.772605333555237
Encode-Decode_Experiment-1-1,2383555,1.242228,0.236224,34,0.9706,0.165578,False,0.414656,1.032961,17,0.9412,0.189631,False,5.0,0.6,0.0,,,,,,,,119.0,0.09265882009024706,-0.4193523042399848,0.692583761840031,0.013924629866148577,0.5253849050179393
Encode-Decode_Experiment-1-1,2409918,2.316643,2.147798,35,1.0,0.149448,False,-0.912559,0.108231,20,0.85,0.088457,False,4.0,0.75,0.666667,4.0,5.0,0.0,0.0,4.0,1.0,0.0,89.0,0.7458884493491187,0.5147742816728049,1.3159091474960587,-0.9109237700768265,-0.6054713946851329
Encode-Decode_Experiment-1-1,2347400,0.201341,0.200143,30,0.9,0.241136,False,-1.135227,-1.013811,21,1.0,0.069835,False,3.0,0.4,0.333333,4.0,6.0,0.0,0.0,4.0,1.0,0.0,70.0,-0.7783140189215814,0.047710288121820904,1.523684276048068,0.610208466671487,-0.8136158390391232
Encode-Decode_Experiment-1-1,2408717,1.537246,1.346318,37,0.8649,0.207272,False,-0.418121,,26,0.9231,0.048856,False,2.0,0.666667,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,83.0,0.3829845513822551,0.9818368740346106,2.5625599188081143,-0.16962532670148125,-1.048105276162008
Encode-Decode_Experiment-1-1,2386442,2.891137,3.235214,37,0.973,0.134292,False,-0.230409,0.137945,18,1.0,0.102708,False,4.0,0.5,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,76.0,-0.34282759941566715,0.047710288121820904,0.9003588903920402,0.610208466671487,-0.4461831079012904
Encode-Decode_Experiment-1-1,2385851,0.248483,1.028884,31,0.9032,0.15682,False,0.152334,0.40323,16,0.9375,0.152109,False,5.0,0.333333,-0.2,1.0,5.0,0.0,0.0,1.0,1.0,0.0,42.0,-1.0686397502135894,-0.6995901398949039,0.4848086332880217,-0.02359663197364352,0.10598871550819695
Encode-Decode_Experiment-1-1,2411268,2.790374,3.413571,32,0.9688,0.234453,False,1.786146,2.46011,20,1.0,0.08537,False,3.0,0.5,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,54.0,-0.34282759941566715,0.047710288121820904,1.3159091474960587,0.610208466671487,-0.6399758463939057
Encode-Decode_Experiment-1-1,2345035,-0.576252,-0.268452,41,0.878,0.23046,False,-0.993283,-0.782585,17,0.8824,0.196564,False,7.0,0.714286,0.619048,1.0,3.0,0.0,0.0,1.0,1.0,0.0,59.0,0.5903588294867763,0.448051054192547,0.692583761840031,-0.582359206939191,0.6028774102647557
Encode-Decode_Experiment-1-1,2370664,3.111753,5.606241,40,1.0,0.147073,False,,,17,0.9412,0.159114,False,2.0,0.666667,1.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,97.0,0.3829845513822551,0.9818368740346106,0.692583761840031,0.013924629866148577,0.18428598930798773
Encode-Decode_Experiment-1-1,2367132,2.52208,2.350202,37,0.973,0.103802,False,0.285135,0.692949,10,1.0,0.060864,False,3.0,0.666667,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,92.0,0.3829845513822551,0.047710288121820904,-0.7618421380240338,0.610208466671487,-0.9138877652715174
Encode-Decode_Experiment-2-1,2379478,2.924088,2.416604,42,0.9286,0.399197,False,-0.058045,0.39677,17,1.0,0.42265,False,6.0,0.666667,0.733333,,,,,,,,49.0,0.3829845513822551,0.6081859594316591,0.692583761840031,0.610208466671487,3.12991773065012
Encode-Decode_Experiment-2-1,2409918,2.84465,3.388721,37,0.8649,0.206175,False,1.078822,1.176836,13,1.0,0.125211,False,4.0,0.75,0.666667,1.0,4.0,0.0,0.0,1.0,1.0,0.0,94.0,0.7458884493491187,0.5147742816728049,-0.13851675236800604,0.610208466671487,-0.19465940307378304
Encode-Decode_Experiment-2-1,2356991,2.276321,2.375767,37,0.9189,0.182026,False,,,12,1.0,0.038629,False,2.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,82.0,1.8346044981139045,0.9818368740346106,-0.3462918809200153,0.610208466671487,-1.1624159427073983
Encode-Decode_Experiment-2-1,2412687,-0.036055,1.127482,35,0.8571,0.161694,False,-0.801581,,15,0.8667,0.066356,False,4.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,110.0,1.8346044981139045,0.9818368740346106,0.27703350473601246,-0.7415710477188471,-0.8525018084252005
Encode-Decode_Experiment-2-1,150472,1.585924,2.295674,37,0.9459,0.094441,False,-0.150394,,12,1.0,0.065708,False,4.0,0.75,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,0.7458884493491187,0.047710288121820904,-0.3462918809200153,0.610208466671487,-0.8597447254019691
Encode-Decode_Experiment-2-1,2362704,0.043275,-0.130035,34,0.9706,0.139211,False,-1.0083,,20,1.0,0.153456,False,3.0,0.333333,0.333333,3.0,3.0,0.0,0.0,3.0,1.0,0.0,68.0,-1.0686397502135894,0.047710288121820904,1.3159091474960587,0.610208466671487,0.12104459385342453
Encode-Decode_Experiment-2-1,2385550,3.804287,,42,0.9524,0.219109,False,0.647146,0.137786,19,0.7895,0.191269,False,5.0,0.5,0.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,107.0,-0.34282759941566715,-0.4193523042399848,1.1081340189440494,-1.5244471055653126,0.5436933895981045
Encode-Decode_Experiment-2-1,2385851,-1.785738,-1.513972,35,0.9429,0.221903,False,0.684794,0.608248,19,0.9474,0.220397,False,5.0,0.428571,0.2,2.0,5.0,0.0,0.0,2.0,1.0,0.0,41.0,-0.6538911940045468,-0.1391144685850657,1.1081340189440494,0.07679809565174535,0.8692669786402607
Encode-Decode_Experiment-2-1,2350974,1.277022,1.336451,31,0.5161,0.2135,False,-2.711135,-2.827286,14,1.0,0.161599,False,2.0,0.333333,-1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,48.0,-1.0686397502135894,-1.8205414825145803,0.06925837618400321,0.610208466671487,0.21206168172661427
