SubjectID,StimID,Phase,svg_z_all_dec,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter_dec,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions_dec,n_relational_all,n_relational_inter,low_n_dec,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations_dec,n_aoi,aoi_prop_dec,mean_salience_dec,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length,n_object_identity_correct,n_object_identity_incorrect,n_object_identity_inference,n_object_identity_repeat,n_object_attribute_correct,n_object_attribute_incorrect,n_object_attribute_inference,n_object_attribute_repeat,n_action_relation_correct,n_action_relation_incorrect,n_action_relation_inference,n_action_relation_repeat,n_spatial_relation_correct,n_spatial_relation_incorrect,n_spatial_relation_inference,n_spatial_relation_repeat,n_scene_gist_correct,n_scene_gist_incorrect,n_scene_gist_inference,n_scene_gist_repeat,empty_response,wrong_image,n_relational_correct,n_relational_incorrect,n_objects_correct,n_objects_incorrect,n_gist_correct,n_inference_total,n_repeat_total,n_relational_total,any_relational_correct,svg_z_inter_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-1-1,2387122,decoding,0.271113,0.545455,0.500818,0.164641,,0.0,0.0,0.0,11,6,0,False,0.6,3.0,0.666667,0.333333,4.0,20,17,0.85,0.150246,,,,,,,61612.0,12.0,111.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,2.0,3.0,3.0,1.0,,1.3336813996041708,-0.8210116723284792,0.09321408492742206
Encode-Decode_Experiment-1-1,2387122,decoding,0.271113,0.545455,0.500818,0.164641,,0.0,0.0,0.0,11,6,0,False,0.6,3.0,0.666667,0.333333,4.0,20,17,0.85,0.150246,,,,,,,61612.0,12.0,111.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,,1.3336813996041708,-0.8210116723284792,0.09321408492742206
Encode-Decode_Experiment-1-1,2369373,decoding,0.271149,0.714286,0.656429,0.213378,,0.0,0.0,0.0,7,5,0,False,0.666667,2.0,1.0,1.0,2.0,13,13,1.0,0.100731,,,,,,,47037.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.11290424546913626,0.558896443005932,-0.44725440130758054
Encode-Decode_Experiment-1-1,2385550,decoding,1.194956,0.888889,0.670444,0.182805,2.394971,0.777778,0.34,0.18279,9,8,7,False,0.333333,1.0,-1.0,1.0,2.0,18,18,1.0,0.236058,,,,,,,64294.0,14.0,134.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,2.177332647149133,0.9203712152975116,0.558896443005932,1.0298733142679866
Encode-Decode_Experiment-1-1,2356125,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,5,0,0,False,0.5,2.0,0.333333,1.0,3.0,18,18,1.0,0.071504,,,,,,,61707.0,15.0,122.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,6.0,4.0,1.0,,0.9203712152975116,0.558896443005932,-0.766274343692523
Encode-Decode_Experiment-1-1,2350974,decoding,-0.486995,0.125,0.203875,0.161963,-0.430392,0.125,0.1945,0.161481,8,1,1,False,0.4,2.0,-0.666667,0.333333,4.0,17,17,1.0,0.211749,,,,,,,29496.0,16.0,46.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,-0.5731905704166763,0.7137161231441821,0.558896443005932,0.7645345597110508
Encode-Decode_Experiment-1-1,2385851,decoding,0.152334,0.222222,0.199444,0.149525,0.40323,0.111111,0.072667,0.095341,9,2,1,False,0.333333,2.0,-0.2,0.816667,5.0,16,15,0.9375,0.152109,,,,,,,31718.0,17.0,42.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.23834998761910364,0.5070610309908524,-0.016065271716739257,0.11354919125592478
Encode-Decode_Experiment-1-1,2347400,decoding,-1.135227,0.0,0.203667,0.179406,-1.013811,0.0,0.195333,0.192672,6,0,0,False,0.4,2.0,0.333333,1.0,3.0,21,21,1.0,0.069835,,,,,,,31252.0,18.0,70.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,-1.141155644309492,1.5403364917575004,0.558896443005932,-0.78449189198145
Encode-Decode_Experiment-1-1,2347025,decoding,2.071172,0.923077,0.600692,0.155653,3.625921,0.923077,0.401385,0.143879,13,12,12,False,0.6,3.0,0.4,0.483333,5.0,19,18,0.9474,0.081798,,,,,,,44220.0,19.0,75.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,3.3756765607144463,1.1270263074508413,0.07500866389533205,-0.653912784623491
Encode-Decode_Experiment-1-1,2410309,decoding,0.664864,0.6,0.497,0.154919,-2.080411,0.0,0.310533,0.149265,15,9,0,False,0.6,3.0,0.2,0.816667,5.0,23,23,1.0,0.176868,,,,,,,36405.0,20.0,70.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,-2.1795029518433178,1.9536466760641595,0.558896443005932,0.3837998072448662
Encode-Decode_Experiment-1-1,150472,decoding,0.201968,0.333333,0.298889,0.170544,-0.60794,0.111111,0.206444,0.156814,9,3,1,False,0.2,1.0,-1.0,0.333333,3.0,12,12,1.0,0.161246,,,,,,,38149.0,21.0,86.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.7460355805029465,-0.31955933762246586,0.558896443005932,0.2132818088208894
Encode-Decode_Experiment-1-1,2386442,decoding,-0.230409,0.5,0.536571,0.158723,0.137945,0.357143,0.337357,0.143432,14,7,5,False,0.5,3.0,0.333333,0.75,4.0,18,18,1.0,0.102708,,,,,,,66095.0,22.0,76.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.01990799614154791,0.9203712152975116,0.558896443005932,-0.42567495674963657
Encode-Decode_Experiment-1-1,2397102,decoding,-0.16838,0.166667,0.197333,0.182128,-0.725665,0.0,0.098667,0.135967,6,1,0,False,0.4,2.0,1.0,1.0,2.0,21,19,0.9048,0.054078,,,,,,,67717.0,23.0,101.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,1.0,-0.8606422153983333,1.5403364917575004,-0.31688524085964037,-0.9564834488350284
