variable,n,M,SD,SE,CI_lower,CI_upper
Encoding SVG (z),25,1.3360627764540443,0.3111084490958625,0.0622216898191725,1.207643520334189,1.4644820325738994
Retrieval SVG (z),25,0.19160819337078308,0.27166069884226446,0.05433213976845289,0.07947216825250036,0.3037442184890658
Total recall (%),25,55.34094584060565,10.5357133603966,2.10714267207932,50.992017110556105,59.68987457065519
Relational recall (%),25,46.07318269138877,10.111344422314533,2.0222688844629064,41.89942484952067,50.246940533256875
Object recall (%),25,56.10871365904758,10.595003632280605,2.119000726456121,51.73531110762605,60.48211621046911
