model,vif_svg_z_enc_within_z,vif_n_fixations_enc_z,vif_mean_salience_enc_z,vif_mean_meaning_enc_z,vif_svg_z_enc_image_mean_z,max_vif,vif_svg_z_dec_within_z,vif_n_fixations_dec_z,vif_mean_salience_dec_z,vif_mean_meaning_dec_z,vif_svg_z_dec_image_mean_z
H2_total,1.043,1.046,1.122,1.11,1.018,1.122,,,,,
H2_relations,1.043,1.046,1.122,1.11,1.018,1.122,,,,,
H2_objects,1.043,1.046,1.122,1.11,1.018,1.122,,,,,
EXP_dissociation,1.043,1.046,1.122,1.11,1.018,1.122,,,,,
H2_dec_total,,,,,,1.24,1.012,1.021,1.217,1.24,1.029
H2_dec_relations,,,,,,1.24,1.012,1.021,1.217,1.24,1.029
H2_dec_objects,,,,,,1.24,1.012,1.021,1.217,1.24,1.029
