SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,svg_obs_all_enc,svg_obs_inter_enc,n_transitions_enc,low_n_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,enc_accuracy_enc,enc_rt_ms_enc,dec_total_correct,q1_accuracy,q2_accuracy,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,svg_z_all_dec,svg_z_inter_dec,svg_z_inter_enc_z,svg_z_all_enc_z,lcs_enc_dec_z,tau_enc_dec_z,n_fixations_enc_z,aoi_prop_enc_z,mean_salience_enc_z
Encode-Decode_Experiment-1-1,2411268,0.905196,0.85836,0.625,0.625,8,False,14,1.0,0.206753,1.0,4092.0,1.0,0.0,1.0,0.5,1.0,,,1.0,12,1.0,0.082449,,,0.12393032165858582,0.06086940001596651,-0.6026382273024843,,-1.1877063691483574,0.8714846146564617,-0.024153760916971828
Encode-Decode_Experiment-1-1,2374670,-0.370764,-0.143824,0.166667,0.166667,12,False,15,1.0,0.223283,1.0,2124.0,1.0,0.0,1.0,0.666667,2.0,1.0,1.0,2.0,11,1.0,0.196646,,,-0.8047752880606083,-1.0881576257213075,0.03134406456203187,0.6440088882650536,-0.7873053583369791,0.8714846146564617,0.14284009422627722
Encode-Decode_Experiment-1-1,2385550,-0.484379,,0.125,0.0,8,False,14,0.8571,0.200555,1.0,4779.0,1.0,1.0,0.0,0.25,1.0,,,1.0,7,0.8571,0.305564,1.805294,,,-1.1904701633628796,-1.5536097631561867,,-1.1877063691483574,-1.0381030076967228,-0.08676887974200834
Encode-Decode_Experiment-1-1,2350974,0.722951,0.822062,0.5,0.5,6,False,16,0.6875,0.299342,0.0,5576.0,1.0,1.0,0.0,0.25,1.0,,,1.0,13,1.0,0.156467,1.866232,1.808383,0.09029362797600124,-0.10324579975948843,-1.5536097631561867,,-0.3869043475256008,-3.3044855182012713,0.9112239797883077
Encode-Decode_Experiment-1-1,2387122,1.098071,-0.70536,0.9,0.2,10,False,17,0.8824,0.136978,1.0,4692.0,2.0,1.0,1.0,0.666667,2.0,0.333333,1.0,3.0,12,0.9167,0.220736,-0.440099,,-1.3251404438197076,0.23455712344701193,0.03134406456203187,-0.3111508929863241,0.013496663285777451,-0.700016465740561,-0.7290537150984716
Encode-Decode_Experiment-1-1,2385851,-0.850753,-0.474087,0.066667,0.066667,15,False,18,1.0,0.181685,0.0,3092.0,1.0,1.0,0.0,0.6,3.0,1.0,0.333333,3.0,10,1.0,0.154989,-0.859908,,-1.1108239785033716,-1.520397141894705,-0.22224961296100337,0.6440088882650536,0.4138976740971557,0.8714846146564617,-0.2774025183719603
Encode-Decode_Experiment-1-1,2383555,0.043004,0.704921,0.1,0.1,10,False,12,1.0,0.180646,1.0,5101.0,0.0,0.0,0.0,0.166667,1.0,-1.0,1.0,2.0,12,1.0,0.199914,1.294222,0.90401,-0.018258797355191498,-0.7155514198956856,-1.870599007145373,-2.221469022750124,-1.9885083907711139,0.8714846146564617,-0.28789898633891964
Encode-Decode_Experiment-1-1,2409918,1.911907,1.090223,0.875,0.5,8,False,17,0.8235,0.145807,1.0,1882.0,2.0,1.0,1.0,0.333333,1.0,-1.0,1.0,2.0,13,1.0,0.090043,-0.609254,-0.306485,0.33879352919963757,0.9674324161818312,-1.2366205191670003,-2.221469022750124,0.013496663285777451,-1.4871033163815859,-0.6398589935582571
Encode-Decode_Experiment-1-1,2397102,1.197418,1.747844,0.461538,0.384615,13,False,17,1.0,0.12376,1.0,4107.0,2.0,1.0,1.0,1.0,1.0,,,1.0,9,1.0,0.04892,,,0.9481988996397427,0.3240210470229242,1.2993048444049207,,0.013496663285777451,0.8714846146564617,-0.8625881843836175
Encode-Decode_Experiment-1-1,2360001,0.816706,,0.111111,0.0,9,False,13,1.0,0.326879,1.0,4779.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,2.0,7,0.8571,0.15661,,,,-0.01881758194858671,-0.6026382273024843,0.6440088882650536,-1.5881073799597356,0.8714846146564617,1.1894157395632405
Encode-Decode_Experiment-1-1,2410309,0.991661,1.298271,0.4,0.2,15,False,21,1.0,0.235682,1.0,4952.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,21,1.0,0.183814,,,0.5315878111786543,0.13873282973192422,1.2993048444049207,0.6440088882650536,1.6151007065312906,0.8714846146564617,0.2681006392910771
Encode-Decode_Experiment-1-1,2370664,1.33144,2.611185,0.545455,0.454545,11,False,16,1.0,0.167246,1.0,2518.0,0.0,0.0,0.0,0.666667,2.0,1.0,1.0,2.0,13,1.0,0.113094,,,1.7482412369755795,0.4447104887321947,0.03134406456203187,0.6440088882650536,-0.3869043475256008,0.8714846146564617,-0.4232721054508092
Encode-Decode_Experiment-1-1,2379478,1.591397,1.592012,0.666667,0.444444,9,False,13,1.0,0.404022,1.0,2037.0,1.0,0.0,1.0,1.0,3.0,1.0,0.333333,3.0,9,1.0,0.730578,-1.042553,0.017059,0.8037922312297885,0.6788068699115299,1.2993048444049207,0.6440088882650536,-1.5881073799597356,0.8714846146564617,1.9687507043131287
Encode-Decode_Experiment-1-1,2371471,1.392861,,0.3,0.0,10,False,16,1.0,0.254037,1.0,6993.0,1.0,0.0,1.0,0.5,1.0,,,1.0,7,1.0,0.051522,,,,0.5000213048610773,-0.6026382273024843,,-0.3869043475256008,0.8714846146564617,0.4535315050596394
Encode-Decode_Experiment-1-1,2362704,-1.340194,-0.777795,0.0,0.0,13,False,18,1.0,0.14711,1.0,2589.0,2.0,1.0,1.0,0.25,2.0,-0.333333,1.0,3.0,17,1.0,0.121488,-0.589359,-0.634966,-1.392264635425251,-1.9611483696008065,-1.5536097631561867,-1.2663092414987462,0.4138976740971557,0.8714846146564617,-0.6266954730953622
Encode-Decode_Experiment-2-1,2369373,1.8329,,1.0,0.0,8,False,12,1.0,0.639553,0.0,15237.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,9,1.0,0.337382,,,,0.8962850618584788,1.2993048444049207,0.6440088882650536,-1.9885083907711139,0.8714846146564617,4.348195936965552
Encode-Decode_Experiment-2-1,2385550,1.26953,0.625491,0.5,0.166667,12,False,19,0.8947,0.292339,1.0,5620.0,1.0,1.0,0.0,0.5,1.0,-1.0,1.0,2.0,7,1.0,0.37201,,,-0.09186512770969285,0.3889593185047624,-0.6026382273024843,-2.221469022750124,0.814298684908534,-0.5356502813112793,0.8404763713449823
Encode-Decode_Experiment-2-1,2383555,-0.327173,,0.1,0.0,10,False,20,0.85,0.130901,1.0,3235.0,1.0,1.0,0.0,0.5,3.0,1.0,0.333333,3.0,16,1.0,0.141545,-0.671506,-0.648624,,-1.048903074576355,-0.6026382273024843,0.6440088882650536,1.2146996957199123,-1.1329810491152505,-0.790446434862871
Encode-Decode_Experiment-2-1,150472,0.080248,-0.52532,0.583333,0.166667,12,False,17,1.0,0.095501,1.0,4657.0,1.0,0.0,1.0,0.666667,2.0,1.0,1.0,2.0,12,1.0,0.03711,-0.34441,-0.2492,-1.1583006639251536,-0.6820124668355905,0.03134406456203187,0.6440088882650536,0.013496663285777451,0.8714846146564617,-1.1480739286360717
Encode-Decode_Experiment-2-1,2356125,2.967417,1.84264,0.636364,0.181818,11,False,17,0.8824,0.262254,1.0,4486.0,2.0,1.0,1.0,0.75,3.0,0.666667,0.333333,4.0,14,1.0,0.327246,-0.005846,-0.435353,1.0360446215620052,1.9179398897201478,0.3483333085512182,0.16642971400884254,0.013496663285777451,-0.700016465740561,0.5365435139956389
Encode-Decode_Experiment-2-1,2408717,-0.436996,0.169754,0.166667,0.166667,12,False,18,0.7778,0.249679,1.0,5579.0,2.0,1.0,1.0,0.666667,2.0,1.0,1.0,2.0,14,1.0,0.049776,1.596354,,-0.5141882823964533,-1.1478008417850016,0.03134406456203187,0.6440088882650536,0.4138976740971557,-2.0977971886107003,0.4095049339335487
Encode-Decode_Experiment-2-1,2350974,0.444331,0.450883,0.6,0.6,5,False,20,0.8,0.332084,1.0,7228.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,11,1.0,0.318336,,,-0.25367117240991666,-0.35414857877365763,1.2993048444049207,0.6440088882650536,1.2146996957199123,-1.801136270372487,1.2419991041137919
Encode-Decode_Experiment-2-1,2394020,0.625759,,0.5,0.0,4,False,12,0.8333,0.35012,1.0,5819.0,1.0,1.0,0.0,1.0,1.0,,,1.0,13,1.0,0.185377,,,,-0.19076910353504345,1.2993048444049207,,-1.9885083907711139,-1.356144893015167,1.424207281449765
Encode-Decode_Experiment-2-1,2362704,-0.031085,,0.090909,0.0,11,False,14,1.0,0.148821,1.0,4066.0,2.0,1.0,1.0,0.666667,2.0,1.0,1.0,2.0,9,1.0,0.277814,-0.398628,,,-0.7822700186839305,0.03134406456203187,0.6440088882650536,-1.1877063691483574,0.8714846146564617,-0.6094101442296573
Encode-Decode_Experiment-2-1,2347400,0.189106,,0.2,0.0,5,False,12,0.9167,0.171852,0.0,4095.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,13,1.0,0.068132,,,,-0.5839837010688673,1.2993048444049207,0.6440088882650536,-1.9885083907711139,-0.24166198395809618,-0.376740121373991
Encode-Decode_Experiment-2-1,2347025,-1.226662,,0.444444,0.0,9,False,17,0.9412,0.055449,1.0,5308.0,2.0,1.0,1.0,0.333333,1.0,,,1.0,14,0.9286,0.144512,0.498348,,,-1.858910575088436,-1.2366205191670003,,0.013496663285777451,0.08573407445795111,-1.5526981201785646
