model,hypothesis_group,description,predictor,mode,b,se,ci_lower,ci_upper,z_or_t,p,sig,cohens_d,n_obs,converged
H1_svg_enc,H1,H1: Encoding SVG — intercept test (mean SVG > 0?),Intercept,ttest,1.3361,0.0622,1.2076,1.4645,21.473,0.0,***,4.295,25,True
H2_total,H2,H2 overall: Encoding SVG (within-image) → total node recall proportion,svg_z_enc_within_z,lmm,0.0219,0.0085,0.0051,0.0386,2.563,0.0104,*,,700,True
H2_relations,H2,H2 relations: Encoding SVG (within-image) → relational recall proportion (action + spatial),svg_z_enc_within_z,lmm,0.0224,0.0101,0.0027,0.0421,2.227,0.026,*,,700,True
H2_objects,H2,H2 objects: Encoding SVG (within-image) → object recall proportion (identity + attribute),svg_z_enc_within_z,lmm,0.0189,0.0089,0.0015,0.0363,2.133,0.0329,*,,700,True
EXP_dissociation,Exploratory,Exploratory: SVG (within-image) × memory_type (relations vs objects dissociation),svg_z_enc_within_z:memory_type,lmm,0.0042,0.0093,-0.014,0.0224,0.451,0.6517,ns,,1400,True
H1_svg_dec,H1,H1: Decoding SVG — intercept test (mean SVG > 0?),Intercept,ttest,0.1916,0.0543,0.0795,0.3037,3.527,0.0017,**,0.705,25,True
H2_dec_total,H2,H2 decoding overall: Decoding SVG (within-image) → total node recall proportion,svg_z_dec_within_z,lmm,0.0022,0.0118,-0.021,0.0254,0.186,0.8527,ns,,372,True
H2_dec_relations,H2,H2 decoding relations: Decoding SVG (within-image) → relational recall proportion (action + spatial),svg_z_dec_within_z,lmm,0.0039,0.0141,-0.0238,0.0317,0.279,0.7801,ns,,372,True
H2_dec_objects,H2,H2 decoding objects: Decoding SVG (within-image) → object recall proportion (identity + attribute),svg_z_dec_within_z,lmm,0.0034,0.0121,-0.0203,0.0272,0.285,0.776,ns,,372,True
