SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_accuracy,enc_rt_ms,enc_response,enc_correct_key,enc_trial_index,q2_accuracy,q2_rt_ms,q2_confidence,q2_present_order,q1_accuracy,q1_rt_ms,q1_confidence,q1_present_order,dec_total_correct,dec_trial_index
Encode-Decode_Experiment-1-1,2383555,encoding,0.043004,0.1,0.0955,0.104641,0.704921,0.1,0.0471,0.075044,10,1,1,False,,,,,,12,12,1.0,0.180646,1.0,5101.0,3.0,3.0,21.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2412687,encoding,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,True,,,,,,12,9,0.75,0.130188,1.0,11981.0,3.0,3.0,22.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2409918,encoding,1.911907,0.875,0.4985,0.196924,1.090223,0.5,0.298875,0.184481,8,7,4,False,,,,,,17,14,0.8235,0.145807,1.0,1882.0,1.0,1.0,23.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2397102,encoding,1.197418,0.461538,0.291308,0.142165,1.747844,0.384615,0.167615,0.124153,13,6,5,False,,,,,,17,17,1.0,0.12376,1.0,4107.0,3.0,3.0,24.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2360001,encoding,0.816706,0.111111,0.047778,0.077547,,0.0,0.0,0.0,9,1,0,False,,,,,,13,13,1.0,0.326879,1.0,4779.0,2.0,2.0,25.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2410309,encoding,0.991661,0.4,0.267933,0.133177,1.298271,0.2,0.089933,0.084779,15,6,3,False,,,,,,21,21,1.0,0.235682,1.0,4952.0,2.0,2.0,26.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2370664,encoding,1.33144,0.545455,0.325455,0.165235,2.611185,0.454545,0.144273,0.118825,11,6,5,False,,,,,,16,16,1.0,0.167246,1.0,2518.0,1.0,1.0,27.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2379478,encoding,1.591397,0.666667,0.389333,0.17427,1.592012,0.444444,0.200556,0.153195,9,6,4,False,,,,,,13,13,1.0,0.404022,1.0,2037.0,2.0,2.0,28.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2371471,encoding,1.392861,0.3,0.1339,0.119251,,0.0,0.0,0.0,10,3,0,False,,,,,,16,16,1.0,0.254037,1.0,6993.0,3.0,3.0,29.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2362704,encoding,-1.340194,0.0,0.137692,0.102741,-0.777795,0.0,0.049846,0.064086,13,0,0,False,,,,,,18,18,1.0,0.14711,1.0,2589.0,1.0,1.0,30.0,,,,,,,,,,
Encode-Decode_Experiment-1-1,2356125,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,False,0.666667,2.0,1.0,1.0,2.0,15,14,0.9333,0.048053,,,,,,1.0,3802.0,2.0,2.0,1.0,3702.0,4.0,1.0,2.0,1.0
Encode-Decode_Experiment-1-1,2347400,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,False,0.25,1.0,-1.0,1.0,2.0,11,11,1.0,0.072117,,,,,,1.0,3607.0,2.0,1.0,1.0,2954.0,4.0,2.0,2.0,2.0
Encode-Decode_Experiment-1-1,2367132,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,True,1.0,2.0,1.0,1.0,2.0,9,9,1.0,0.049972,,,,,,0.0,2633.0,1.0,2.0,1.0,2274.0,1.0,1.0,1.0,3.0
Encode-Decode_Experiment-1-1,2371471,decoding,,1.0,1.0,0.0,,1.0,1.0,0.0,1,1,1,True,0.5,1.0,,,1.0,7,7,1.0,0.051522,,,,,,1.0,5619.0,2.0,2.0,0.0,3950.0,4.0,1.0,1.0,4.0
Encode-Decode_Experiment-1-1,2411268,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,4,0,0,False,0.5,1.0,,,1.0,12,12,1.0,0.082449,,,,,,1.0,6793.0,4.0,1.0,0.0,5760.0,4.0,2.0,1.0,5.0
Encode-Decode_Experiment-1-1,2385550,decoding,1.805294,0.75,0.32375,0.236111,,0.0,0.0,0.0,4,3,0,False,0.25,1.0,,,1.0,7,6,0.8571,0.305564,,,,,,0.0,10753.0,2.0,1.0,1.0,3136.0,4.0,2.0,1.0,6.0
Encode-Decode_Experiment-1-1,2397102,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,9,9,1.0,0.04892,,,,,,1.0,7414.0,4.0,1.0,1.0,2062.0,4.0,2.0,2.0,7.0
Encode-Decode_Experiment-1-1,2386442,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,True,1.0,2.0,1.0,1.0,2.0,5,5,1.0,0.03885,,,,,,0.0,8797.0,1.0,1.0,0.0,8431.0,3.0,2.0,0.0,8.0
Encode-Decode_Experiment-1-1,2350974,decoding,1.866232,0.75,0.391875,0.191897,1.808383,0.75,0.39825,0.194511,8,6,6,False,0.25,1.0,,,1.0,13,13,1.0,0.156467,,,,,,0.0,3457.0,1.0,2.0,1.0,5185.0,1.0,1.0,1.0,9.0
Encode-Decode_Experiment-1-1,2383555,decoding,1.294222,0.333333,0.136167,0.152344,0.90401,0.166667,0.065333,0.112093,6,2,1,False,0.166667,1.0,-1.0,1.0,2.0,12,12,1.0,0.199914,,,,,,0.0,7568.0,1.0,2.0,0.0,4472.0,1.0,1.0,0.0,10.0
Encode-Decode_Experiment-1-1,2356991,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,10,10,1.0,0.004443,,,,,,1.0,7491.0,4.0,1.0,1.0,4085.0,4.0,2.0,2.0,11.0
Encode-Decode_Experiment-1-1,2387122,decoding,-0.440099,0.5,0.6635,0.371507,,0.0,0.0,0.0,2,1,0,False,0.666667,2.0,0.333333,1.0,3.0,12,11,0.9167,0.220736,,,,,,1.0,4136.0,4.0,1.0,1.0,3053.0,4.0,2.0,2.0,12.0
Encode-Decode_Experiment-1-1,2344622,decoding,,1.0,1.0,0.0,,0.0,0.0,0.0,1,1,0,True,1.0,2.0,1.0,1.0,2.0,10,10,1.0,0.142216,,,,,,1.0,2688.0,4.0,2.0,1.0,4268.0,4.0,1.0,2.0,13.0
Encode-Decode_Experiment-1-1,2360001,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,False,0.5,2.0,1.0,1.0,2.0,7,6,0.8571,0.15661,,,,,,1.0,2144.0,4.0,1.0,1.0,10428.0,2.0,2.0,2.0,14.0
Encode-Decode_Experiment-1-1,2349475,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,6,6,1.0,0.066383,,,,,,1.0,4647.0,4.0,2.0,1.0,6142.0,2.0,1.0,2.0,15.0
Encode-Decode_Experiment-1-1,2374670,decoding,,1.0,1.0,0.0,,1.0,1.0,0.0,3,3,3,False,0.666667,2.0,1.0,1.0,2.0,11,11,1.0,0.196646,,,,,,1.0,3305.0,4.0,2.0,0.0,5901.0,4.0,1.0,1.0,16.0
Encode-Decode_Experiment-1-1,150472,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,6,0,0,False,0.333333,1.0,-1.0,1.0,2.0,13,13,1.0,0.119899,,,,,,1.0,3010.0,4.0,1.0,1.0,3485.0,4.0,2.0,2.0,17.0
