SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-4-1,2397102,encoding,3.316107,0.518519,0.203,0.095147,4.247669,0.444444,0.132111,0.073531,27,14,12,False,,,,,,36,36,1.0,0.116982,1.0,9432.0,1.0,1.0,2935.0,36.0,,,
Encode-Decode_Experiment-4-1,2356125,encoding,-0.93833,0.153846,0.290385,0.145512,-1.102075,0.0,0.095,0.086201,13,2,0,False,,,,,,33,30,0.9091,0.135133,1.0,5575.0,2.0,0.0,7698.0,6.0,,,
Encode-Decode_Experiment-4-1,2347400,encoding,0.385679,0.26087,0.223826,0.096048,0.453074,0.217391,0.176609,0.090013,23,6,5,False,,,,,,37,33,0.8919,0.210394,1.0,6584.0,3.0,1.0,3796.0,10.0,,,
Encode-Decode_Experiment-4-1,2379478,encoding,2.276744,0.48,0.2516,0.100319,0.670838,0.24,0.17932,0.090454,25,12,6,False,,,,,,36,36,1.0,0.317734,1.0,6000.0,4.0,1.0,3672.0,37.0,,,
Encode-Decode_Experiment-4-1,2385550,encoding,0.971378,0.259259,0.179185,0.082433,-0.261132,0.074074,0.090111,0.061414,27,7,2,False,,,,,,37,36,0.973,0.241754,0.0,4753.0,5.0,1.0,3409.0,18.0,,,
Encode-Decode_Experiment-4-1,2362704,encoding,-0.019947,0.133333,0.1348,0.073531,0.918165,0.1,0.0569,0.046941,30,4,3,False,,,,,,32,32,1.0,0.13307,1.0,2269.0,7.0,1.0,2925.0,44.0,,,
Encode-Decode_Experiment-4-1,2394020,encoding,2.079047,0.833333,0.556667,0.133074,-0.551531,0.166667,0.226889,0.109191,18,15,3,False,,,,,,31,29,0.9355,0.241063,1.0,3299.0,8.0,1.0,5201.0,47.0,,,
Encode-Decode_Experiment-4-1,2374670,encoding,1.21222,0.48,0.34844,0.108528,1.730486,0.4,0.24276,0.090865,25,12,10,False,,,,,,33,30,0.9091,0.273023,1.0,10670.0,9.0,1.0,5883.0,15.0,,,
Encode-Decode_Experiment-4-1,2409918,encoding,2.474816,0.666667,0.377722,0.116754,3.076993,0.555556,0.236,0.103853,18,12,10,False,,,,,,34,32,0.9412,0.143787,1.0,5324.0,11.0,1.0,4161.0,24.0,,,
Encode-Decode_Experiment-4-1,2345035,encoding,0.260286,0.222222,0.198704,0.090357,0.630962,0.148148,0.105926,0.066917,27,6,4,False,,,,,,39,32,0.8205,0.161992,1.0,7310.0,12.0,1.0,4581.0,53.0,,,
Encode-Decode_Experiment-4-1,2383555,encoding,-1.468165,0.0,0.113174,0.077085,-0.929194,0.0,0.044304,0.04768,23,0,0,False,,,,,,34,27,0.7941,0.162869,1.0,4161.0,13.0,1.0,3201.0,60.0,,,
Encode-Decode_Experiment-4-1,2386442,encoding,3.495187,0.666667,0.311111,0.101727,4.576887,0.666667,0.242556,0.092664,27,18,18,False,,,,,,38,38,1.0,0.118407,0.0,4579.0,14.0,1.0,4371.0,52.0,,,
Encode-Decode_Experiment-4-1,2385851,encoding,-0.171115,0.111111,0.123148,0.070345,-0.250697,0.037037,0.048148,0.044321,27,3,1,False,,,,,,33,31,0.9394,0.218636,1.0,9568.0,16.0,1.0,3301.0,20.0,,,
