SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-8-1,2379478,encoding,4.63285,0.615385,0.200885,0.08947,3.552256,0.346154,0.110192,0.066426,26,16,9,False,,,,,,36,33,0.9167,0.425175,1.0,2404.0,1.0,1.0,3666.0,25.0,,,
Encode-Decode_Experiment-8-1,2412687,encoding,1.034705,0.533333,0.383533,0.144776,1.270628,0.4,0.239133,0.126604,15,8,6,False,,,,,,32,27,0.8438,0.166302,1.0,5324.0,2.0,0.0,3637.0,32.0,,,
Encode-Decode_Experiment-8-1,2387122,encoding,1.562034,0.37037,0.22737,0.091547,1.593014,0.111111,0.043556,0.042407,27,10,3,False,,,,,,36,34,0.9444,0.141841,1.0,3095.0,3.0,1.0,5629.0,37.0,,,
Encode-Decode_Experiment-8-1,2356125,encoding,-0.631323,0.193548,0.247226,0.085024,-1.301204,0.0,0.063419,0.048739,31,6,0,False,,,,,,37,36,0.973,0.242599,0.0,4803.0,4.0,1.0,3667.0,48.0,,,
Encode-Decode_Experiment-8-1,2369373,encoding,1.520159,0.62963,0.454889,0.114949,0.171343,0.148148,0.135074,0.076303,27,17,4,False,,,,,,34,33,0.9706,0.255906,1.0,3835.0,5.0,1.0,3211.0,40.0,,,
Encode-Decode_Experiment-8-1,2386442,encoding,1.92352,0.590909,0.357409,0.121392,2.731982,0.5,0.224909,0.100693,22,13,11,False,,,,,,38,37,0.9737,0.147193,1.0,7417.0,6.0,1.0,4133.0,27.0,,,
Encode-Decode_Experiment-8-1,2385851,encoding,0.060765,0.068966,0.066069,0.047668,-0.738824,0.0,0.020897,0.028284,29,2,0,False,,,,,,37,34,0.9189,0.201447,1.0,4848.0,7.0,1.0,5280.0,9.0,,,
Encode-Decode_Experiment-8-1,2344622,encoding,0.73344,0.3,0.2244,0.103076,0.747616,0.2,0.13705,0.084201,20,6,4,False,,,,,,34,26,0.7647,0.241018,1.0,3942.0,8.0,1.0,5201.0,16.0,,,
Encode-Decode_Experiment-8-1,2397102,encoding,1.123851,0.346154,0.235962,0.098049,0.30753,0.153846,0.128192,0.083419,26,9,4,False,,,,,,37,37,1.0,0.113161,1.0,2781.0,10.0,1.0,2300.0,38.0,,,
Encode-Decode_Experiment-8-1,2347025,encoding,1.830741,0.666667,0.469667,0.107607,0.527908,0.333333,0.280037,0.100958,27,18,9,False,,,,,,42,42,1.0,0.123411,1.0,4925.0,11.0,1.0,5296.0,51.0,,,
Encode-Decode_Experiment-8-1,2367132,encoding,5.486701,0.52,0.10748,0.075185,5.663553,0.52,0.1076,0.072816,25,13,13,False,,,,,,45,44,0.9778,0.103068,1.0,3032.0,12.0,1.0,2929.0,47.0,,,
Encode-Decode_Experiment-8-1,2394020,encoding,2.496872,0.708333,0.415042,0.117464,0.004021,0.166667,0.166333,0.082894,24,17,4,False,,,,,,38,33,0.8684,0.257362,1.0,4150.0,13.0,1.0,2688.0,39.0,,,
Encode-Decode_Experiment-8-1,2374670,encoding,1.056789,0.521739,0.392826,0.121986,1.445137,0.434783,0.278304,0.108279,23,12,10,False,,,,,,42,34,0.8095,0.255874,1.0,3568.0,14.0,1.0,3678.0,23.0,,,
Encode-Decode_Experiment-8-1,2370664,encoding,1.982342,0.4,0.21248,0.094595,-0.419512,0.08,0.1066,0.063407,25,10,2,False,,,,,,41,41,1.0,0.147608,0.0,1968.0,15.0,1.0,4005.0,31.0,,,
Encode-Decode_Experiment-8-1,2383555,encoding,0.383423,0.206897,0.174241,0.085167,0.774295,0.172414,0.119069,0.068895,29,6,5,False,,,,,,40,38,0.95,0.222199,1.0,2745.0,17.0,1.0,3751.0,50.0,,,
Encode-Decode_Experiment-8-1,150472,encoding,3.588978,0.586207,0.249,0.093956,4.256883,0.37931,0.109,0.0635,29,17,11,False,,,,,,40,39,0.975,0.097512,1.0,2851.0,18.0,1.0,3499.0,33.0,,,
Encode-Decode_Experiment-8-1,2411268,encoding,2.259676,0.5,0.2542,0.108777,1.97729,0.4,0.1943,0.104031,20,10,8,False,,,,,,35,32,0.9143,0.221108,0.0,4464.0,19.0,1.0,3122.0,30.0,,,
Encode-Decode_Experiment-8-1,2409918,encoding,3.39246,0.545455,0.2205,0.095787,1.585622,0.227273,0.113,0.072068,22,12,5,False,,,,,,37,32,0.8649,0.152732,1.0,4805.0,20.0,0.0,10788.0,36.0,,,
Encode-Decode_Experiment-8-1,2385550,encoding,3.001805,0.518519,0.252889,0.08849,0.764713,0.111111,0.070111,0.053615,27,14,3,False,,,,,,41,38,0.9268,0.273839,1.0,2590.0,21.0,1.0,3635.0,24.0,,,
Encode-Decode_Experiment-8-1,2360001,encoding,2.657856,0.321429,0.135143,0.070089,2.576825,0.142857,0.04125,0.039431,28,9,4,False,,,,,,37,37,1.0,0.273491,1.0,4581.0,22.0,1.0,2869.0,29.0,,,
Encode-Decode_Experiment-8-1,2371471,encoding,2.491041,0.5,0.269567,0.092505,-0.977904,0.033333,0.093833,0.061867,30,15,1,False,,,,,,34,34,1.0,0.359251,1.0,5239.0,26.0,1.0,8612.0,56.0,,,
Encode-Decode_Experiment-8-1,2408717,encoding,0.036244,0.258065,0.254871,0.088114,0.070182,0.129032,0.124452,0.065268,31,8,4,False,,,,,,39,34,0.8718,0.226803,1.0,2880.0,28.0,1.0,3744.0,46.0,,,
Encode-Decode_Experiment-8-1,2350974,encoding,3.962759,0.695652,0.282435,0.104275,3.565626,0.608696,0.249783,0.100659,23,16,14,False,,,,,,38,35,0.9211,0.268728,1.0,4079.0,34.0,1.0,4459.0,57.0,,,
Encode-Decode_Experiment-8-1,2349475,encoding,2.198678,0.4,0.208633,0.087037,3.429503,0.333333,0.108667,0.06551,30,12,10,False,,,,,,38,38,1.0,0.068237,1.0,4380.0,35.0,1.0,8085.0,54.0,,,
Encode-Decode_Experiment-8-1,2356991,encoding,0.204838,0.147059,0.132235,0.072367,0.462377,0.117647,0.0915,0.056549,34,5,4,False,,,,,,39,38,0.9744,0.169588,1.0,6155.0,41.0,1.0,4792.0,59.0,,,
Encode-Decode_Experiment-8-1,2348899,encoding,3.74928,0.571429,0.250571,0.085578,4.212406,0.571429,0.216964,0.084148,28,16,16,False,,,,,,38,38,1.0,0.205653,1.0,2948.0,42.0,1.0,3425.0,45.0,,,
Encode-Decode_Experiment-8-1,2362704,encoding,1.405148,0.222222,0.119222,0.073302,1.051653,0.111111,0.058481,0.050045,27,6,3,False,,,,,,36,34,0.9444,0.205955,1.0,3022.0,43.0,1.0,1982.0,53.0,,,
Encode-Decode_Experiment-8-1,2345035,encoding,1.879344,0.4,0.21812,0.096778,1.748502,0.28,0.14012,0.08,25,10,7,False,,,,,,38,35,0.9211,0.289683,1.0,3677.0,44.0,1.0,6170.0,55.0,,,
Encode-Decode_Experiment-8-1,2410309,encoding,2.043639,0.392857,0.213929,0.087554,1.631061,0.214286,0.101536,0.069127,28,11,6,False,,,,,,41,40,0.9756,0.282692,1.0,3056.0,49.0,1.0,4208.0,58.0,,,
Encode-Decode_Experiment-8-1,2347400,encoding,0.467842,0.257143,0.220143,0.079086,0.335853,0.228571,0.201971,0.079201,35,9,8,False,,,,,,45,41,0.9111,0.263876,0.0,7331.0,52.0,1.0,2831.0,60.0,,,
Encode-Decode_Experiment-8-1,2411268,decoding,-0.824366,0.222222,0.396667,0.211611,-0.61717,0.111111,0.208111,0.157169,9,2,1,False,0.6,3.0,0.666667,0.333333,4.0,19,19,1.0,0.081119,,,,,,,17815.0,1.0,14.0
Encode-Decode_Experiment-8-1,2347025,decoding,0.114689,0.833333,0.815,0.159852,-0.001368,0.5,0.500333,0.243584,6,5,3,False,0.6,3.0,0.4,0.483333,5.0,12,12,1.0,0.098938,,,,,,,29129.0,2.0,87.0
Encode-Decode_Experiment-8-1,2362704,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,False,0.25,1.0,-1.0,1.0,2.0,10,6,0.6,0.065629,,,,,,,27525.0,3.0,73.0
Encode-Decode_Experiment-8-1,2379478,decoding,-0.423969,0.5,0.6565,0.369131,,0.0,0.0,0.0,2,1,0,False,0.333333,1.0,,,1.0,10,4,0.4,0.165363,,,,,,,18026.0,4.0,40.0
Encode-Decode_Experiment-8-1,2350974,decoding,0.04303,0.333333,0.320333,0.302118,-0.032254,0.333333,0.343333,0.310036,3,1,1,False,0.5,2.0,-0.666667,0.333333,4.0,8,8,1.0,0.067282,,,,,,,27851.0,5.0,77.0
