SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-6-1,2411268,encoding,2.651614,0.545455,0.253,0.110293,3.541189,0.5,0.171318,0.092817,22,12,11,False,,,,,,35,34,0.9714,0.307716,1.0,4557.0,33.0,1.0,7083.0,47.0,,,
Encode-Decode_Experiment-6-1,2394020,encoding,1.280156,0.666667,0.476267,0.148732,-1.115611,0.0,0.0836,0.074937,15,10,0,False,,,,,,31,27,0.871,0.29524,1.0,4951.0,37.0,1.0,3980.0,42.0,,,
Encode-Decode_Experiment-6-1,2409918,encoding,3.154715,0.590909,0.25,0.108063,2.815255,0.363636,0.140364,0.079308,22,13,8,False,,,,,,37,30,0.8108,0.158141,1.0,6601.0,38.0,1.0,14236.0,46.0,,,
Encode-Decode_Experiment-6-1,2350974,encoding,0.27817,0.222222,0.193444,0.103454,0.322138,0.166667,0.137889,0.089334,18,4,3,False,,,,,,34,25,0.7353,0.194641,1.0,5826.0,39.0,1.0,5163.0,44.0,,,
Encode-Decode_Experiment-6-1,2356991,encoding,1.333765,0.310345,0.195724,0.085938,1.104845,0.206897,0.127034,0.072283,29,9,6,False,,,,,,37,37,1.0,0.148127,1.0,10269.0,49.0,1.0,9255.0,52.0,,,
Encode-Decode_Experiment-6-1,2386442,encoding,2.49643,0.684211,0.359368,0.130123,2.396599,0.526316,0.249421,0.115537,19,13,10,False,,,,,,36,36,1.0,0.136083,1.0,5637.0,53.0,1.0,8392.0,58.0,,,
Encode-Decode_Experiment-6-1,2385851,decoding,0.637801,0.375,0.268,0.167764,0.951833,0.25,0.128,0.128174,8,3,2,False,0.5,3.0,0.2,0.816667,5.0,16,16,1.0,0.18237,,,,,,,47205.0,1.0,55.0
Encode-Decode_Experiment-6-1,2348899,decoding,,1.0,1.0,0.0,,1.0,1.0,0.0,5,5,5,False,1.0,2.0,1.0,1.0,2.0,10,10,1.0,0.189992,,,,,,,43181.0,2.0,114.0
Encode-Decode_Experiment-6-1,2347025,decoding,,1.0,1.0,0.0,-0.435646,0.5,0.661,0.369566,2,2,1,False,1.0,3.0,1.0,0.333333,3.0,7,6,0.8571,0.102107,,,,,,,33336.0,3.0,83.0
Encode-Decode_Experiment-6-1,2379478,decoding,-0.019527,0.333333,0.339333,0.30726,0.030675,0.333333,0.324,0.304269,3,1,1,False,0.333333,1.0,-1.0,1.0,2.0,9,9,1.0,0.731697,,,,,,,35508.0,4.0,100.0
Encode-Decode_Experiment-6-1,2356125,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,11,11,1.0,0.096,,,,,,,85753.0,5.0,185.0
Encode-Decode_Experiment-6-1,2412687,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,True,0.5,1.0,,,1.0,12,11,0.9167,0.024125,,,,,,,56652.0,6.0,17.0
Encode-Decode_Experiment-6-1,2409918,decoding,-2.025188,0.2,0.6774,0.235731,-1.422227,0.0,0.3316,0.233155,5,1,0,False,1.0,3.0,1.0,0.333333,3.0,15,14,0.9333,0.063637,,,,,,,47029.0,7.0,124.0
Encode-Decode_Experiment-6-1,2410309,decoding,-0.182893,0.625,0.658875,0.185218,0.202808,0.375,0.335,0.197231,8,5,3,False,0.666667,2.0,0.333333,1.0,3.0,12,12,1.0,0.153749,,,,,,,40828.0,8.0,107.0
Encode-Decode_Experiment-6-1,2362704,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,7,0,0,False,0.666667,2.0,1.0,1.0,2.0,12,12,1.0,0.122563,,,,,,,28469.0,9.0,63.0
Encode-Decode_Experiment-6-1,2360001,decoding,1.664121,0.461538,0.250538,0.126794,2.444084,0.384615,0.140231,0.09999,13,6,5,False,0.5,4.0,-0.333333,0.381349,7.0,15,15,1.0,0.25415,,,,,,,44066.0,10.0,85.0
Encode-Decode_Experiment-6-1,150472,decoding,0.004845,0.166667,0.165833,0.171996,,0.0,0.0,0.0,6,1,0,False,0.5,2.0,0.0,1.0,4.0,11,11,1.0,0.143513,,,,,,,32969.0,11.0,88.0
Encode-Decode_Experiment-6-1,2344622,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,11,11,1.0,0.184339,,,,,,,25836.0,12.0,68.0
Encode-Decode_Experiment-6-1,2345035,decoding,-0.662938,0.1,0.1945,0.142547,-0.006514,0.1,0.1007,0.107469,10,1,1,False,0.4,2.0,0.0,1.0,4.0,17,15,0.8824,0.222534,,,,,,,45787.0,13.0,161.0
Encode-Decode_Experiment-6-1,2383555,decoding,-1.159367,0.0,0.196571,0.169551,-0.787815,0.0,0.098286,0.124757,7,0,0,False,0.6,3.0,0.666667,0.333333,4.0,12,12,1.0,0.127221,,,,,,,33645.0,14.0,95.0
Encode-Decode_Experiment-6-1,2408717,decoding,-0.55301,0.4,0.5043,0.188604,-1.363012,0.1,0.3404,0.176374,10,4,1,False,0.5,2.0,-0.333333,1.0,3.0,16,16,1.0,0.187457,,,,,,,32628.0,15.0,83.0
Encode-Decode_Experiment-6-1,2371471,decoding,1.411844,1.0,0.6666,0.236145,-0.534538,0.2,0.3254,0.234595,5,5,1,False,0.666667,2.0,1.0,1.0,2.0,14,13,0.9286,0.193007,,,,,,,45165.0,16.0,120.0
Encode-Decode_Experiment-6-1,2367132,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,11,11,1.0,0.040404,,,,,,,31840.0,17.0,102.0
Encode-Decode_Experiment-6-1,2394020,decoding,,1.0,1.0,0.0,,0.0,0.0,0.0,1,1,0,True,1.0,2.0,1.0,1.0,2.0,8,8,1.0,0.110969,,,,,,,37217.0,18.0,76.0
Encode-Decode_Experiment-6-1,2349475,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,False,0.333333,1.0,,,1.0,11,11,1.0,0.066824,,,,,,,27434.0,19.0,68.0
Encode-Decode_Experiment-6-1,2369373,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,11,11,1.0,0.084724,,,,,,,41891.0,20.0,92.0
Encode-Decode_Experiment-6-1,2347400,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,True,0.0,0.0,,,0.0,7,7,1.0,0.029833,,,,,,,20320.0,21.0,38.0
Encode-Decode_Experiment-6-1,2370664,decoding,,,,,,,,,0,0,0,True,1.0,1.0,,,1.0,8,7,0.875,0.116474,,,,,,,32453.0,22.0,46.0
Encode-Decode_Experiment-6-1,2350974,decoding,0.644475,0.5,0.3315,0.261453,0.672057,0.5,0.3235,0.262627,4,2,2,False,0.666667,2.0,0.333333,1.0,3.0,10,10,1.0,0.296096,,,,,,,47620.0,23.0,77.0
Encode-Decode_Experiment-6-1,2397102,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,2,0,0,False,1.0,2.0,1.0,1.0,2.0,16,16,1.0,0.056933,,,,,,,33845.0,24.0,102.0
Encode-Decode_Experiment-6-1,2374670,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,False,1.0,2.0,1.0,1.0,2.0,14,12,0.8571,0.148711,,,,,,,40420.0,25.0,64.0
Encode-Decode_Experiment-6-1,2387122,decoding,,1.0,1.0,0.0,,0.0,0.0,0.0,3,3,0,False,0.5,1.0,-1.0,1.0,2.0,9,7,0.7778,0.113202,,,,,,,54180.0,26.0,134.0
Encode-Decode_Experiment-6-1,2385550,decoding,,1.0,1.0,0.0,-0.645224,0.5,0.674,0.269674,4,4,2,False,0.333333,1.0,,,1.0,11,11,1.0,0.211528,,,,,,,45975.0,27.0,113.0
Encode-Decode_Experiment-6-1,2411268,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,True,0.5,1.0,-1.0,1.0,2.0,12,12,1.0,0.068618,,,,,,,29480.0,28.0,63.0
Encode-Decode_Experiment-6-1,2386442,decoding,0.727411,0.666667,0.497167,0.233018,0.989571,0.5,0.295667,0.206487,6,4,3,False,0.6,3.0,1.0,0.333333,3.0,16,16,1.0,0.073559,,,,,,,35751.0,29.0,102.0
Encode-Decode_Experiment-6-1,2356991,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,2,0,0,False,1.0,2.0,1.0,1.0,2.0,10,10,1.0,0.094366,,,,,,,49578.0,30.0,96.0
