SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-2-1,2379478,encoding,2.924088,0.433333,0.191833,0.08259,2.416604,0.2,0.076,0.051312,30,13,6,False,,,,,,42,39,0.9286,0.399197,0.0,5498.0,1.0,1.0,3096.0,53.0,,,
Encode-Decode_Experiment-2-1,2411268,encoding,-0.087115,0.272727,0.282136,0.108007,0.222638,0.272727,0.248909,0.106982,22,6,6,False,,,,,,39,30,0.7692,0.231935,1.0,3766.0,2.0,1.0,7271.0,32.0,,,
Encode-Decode_Experiment-2-1,2409918,encoding,2.84465,0.521739,0.240435,0.098889,3.388721,0.391304,0.132956,0.076238,23,12,9,False,,,,,,37,32,0.8649,0.206175,0.0,9287.0,3.0,1.0,7929.0,41.0,,,
Encode-Decode_Experiment-2-1,2370664,encoding,2.940658,0.44,0.18136,0.087953,3.121904,0.28,0.0874,0.061693,25,11,7,False,,,,,,43,43,1.0,0.127741,1.0,3248.0,4.0,1.0,4623.0,38.0,,,
Encode-Decode_Experiment-2-1,2356991,encoding,2.276321,0.3,0.139333,0.070582,2.375767,0.233333,0.094,0.058648,30,9,7,False,,,,,,37,34,0.9189,0.182026,1.0,10888.0,5.0,1.0,6990.0,39.0,,,
Encode-Decode_Experiment-2-1,2369373,encoding,-0.070308,0.387097,0.394097,0.099562,0.313079,0.129032,0.108548,0.065427,31,12,4,False,,,,,,39,38,0.9744,0.225094,1.0,6557.0,6.0,1.0,3815.0,7.0,,,
Encode-Decode_Experiment-2-1,2412687,encoding,-0.036055,0.375,0.380313,0.147343,1.127482,0.25,0.138063,0.099281,16,6,4,False,,,,,,35,30,0.8571,0.161694,1.0,4214.0,8.0,1.0,4284.0,23.0,,,
Encode-Decode_Experiment-2-1,150472,encoding,1.585924,0.434783,0.268391,0.104918,2.295674,0.304348,0.117478,0.081401,23,10,7,False,,,,,,37,35,0.9459,0.094441,1.0,2629.0,9.0,1.0,3299.0,10.0,,,
Encode-Decode_Experiment-2-1,2397102,encoding,2.270703,0.5,0.2482,0.110891,1.175764,0.25,0.14045,0.093173,20,10,5,False,,,,,,42,39,0.9286,0.129092,1.0,2582.0,11.0,1.0,5618.0,42.0,,,
Encode-Decode_Experiment-2-1,2362704,encoding,0.043275,0.192308,0.188385,0.090655,-0.130035,0.115385,0.124654,0.071283,26,5,3,False,,,,,,34,33,0.9706,0.139211,1.0,3702.0,12.0,1.0,1876.0,54.0,,,
Encode-Decode_Experiment-2-1,2385550,encoding,3.804287,0.296296,0.082852,0.056106,,0.0,0.0,0.0,27,8,0,False,,,,,,42,40,0.9524,0.219109,1.0,8090.0,13.0,1.0,3239.0,59.0,,,
Encode-Decode_Experiment-2-1,2385851,encoding,-1.785738,0.0,0.1335,0.074759,-1.513972,0.0,0.111955,0.073948,22,0,0,False,,,,,,35,33,0.9429,0.221903,1.0,2645.0,14.0,0.0,6158.0,60.0,,,
