SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-7-1,2412687,encoding,2.288554,0.615385,0.287462,0.143288,3.046265,0.384615,0.093077,0.095704,13,8,5,False,,,,,,28,25,0.8929,0.119326,1.0,5173.0,1.0,1.0,5243.0,20.0,,,
Encode-Decode_Experiment-7-1,2370664,encoding,-0.184854,0.3,0.3315,0.170405,-0.547579,0.1,0.1765,0.139706,10,3,1,False,,,,,,21,21,1.0,0.15048,1.0,3231.0,2.0,1.0,24878.0,24.0,,,
Encode-Decode_Experiment-7-1,2348899,encoding,4.344444,0.65,0.19185,0.105457,4.245341,0.65,0.19795,0.106481,20,13,13,False,,,,,,31,31,1.0,0.151387,1.0,3589.0,3.0,1.0,7519.0,47.0,,,
Encode-Decode_Experiment-7-1,2374670,encoding,1.782472,0.52381,0.31081,0.119497,1.272177,0.285714,0.17019,0.090808,21,11,6,False,,,,,,37,33,0.8919,0.238978,1.0,6005.0,4.0,1.0,6995.0,55.0,,,
Encode-Decode_Experiment-7-1,2349475,encoding,0.748411,0.2,0.137,0.084178,1.213572,0.2,0.10925,0.074779,20,4,4,False,,,,,,36,28,0.7778,0.074432,0.0,6764.0,5.0,1.0,3692.0,60.0,,,
Encode-Decode_Experiment-7-1,2385851,encoding,-0.621581,0.086957,0.135348,0.077852,-0.295882,0.086957,0.107087,0.068035,23,2,2,False,,,,,,34,28,0.8235,0.19349,1.0,9372.0,6.0,1.0,2584.0,50.0,,,
Encode-Decode_Experiment-7-1,2345035,encoding,0.932135,0.344828,0.253517,0.097958,2.564691,0.275862,0.107172,0.065774,29,10,8,False,,,,,,37,35,0.9459,0.201809,1.0,6958.0,7.0,1.0,6198.0,23.0,,,
Encode-Decode_Experiment-7-1,150472,encoding,1.41076,0.52381,0.357238,0.118072,0.080443,0.142857,0.135762,0.088202,21,11,3,False,,,,,,30,28,0.9333,0.096645,1.0,3567.0,8.0,1.0,2625.0,51.0,,,
Encode-Decode_Experiment-7-1,2397102,encoding,2.382196,0.448276,0.232276,0.090673,2.973796,0.344828,0.132241,0.071486,29,13,10,False,,,,,,39,37,0.9487,0.127476,1.0,8817.0,9.0,1.0,2618.0,14.0,,,
Encode-Decode_Experiment-7-1,2367132,encoding,3.855499,0.391304,0.115304,0.071586,4.640196,0.347826,0.066609,0.060605,23,9,8,False,,,,,,36,31,0.8611,0.101701,0.0,7599.0,10.0,1.0,2988.0,59.0,,,
