SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_trial_index,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_trial_index,dec_rt_ms,dec_trial_index,writing_length
Encode-Decode_Experiment-3-1,2348899,encoding,3.36501,0.608696,0.262783,0.102797,3.31332,0.434783,0.155261,0.084363,23,14,10,False,,,,,,33,32,0.9697,0.196117,1.0,4282.0,1.0,0.0,6102.0,38.0,,,
Encode-Decode_Experiment-3-1,2385550,encoding,2.299355,0.526316,0.265316,0.11351,-1.05642,0.0,0.068684,0.065016,19,10,0,False,,,,,,34,33,0.9706,0.158456,1.0,2750.0,2.0,1.0,4765.0,37.0,,,
Encode-Decode_Experiment-3-1,2349475,encoding,-0.27773,0.125,0.149375,0.087765,0.217797,0.125,0.108958,0.073654,24,3,3,False,,,,,,37,32,0.8649,0.065952,1.0,3344.0,3.0,1.0,3399.0,35.0,,,
Encode-Decode_Experiment-3-1,2350974,encoding,1.53063,0.722222,0.529222,0.126092,1.33825,0.555556,0.398667,0.117234,18,13,10,False,,,,,,37,30,0.8108,0.228493,1.0,5201.0,4.0,1.0,4508.0,49.0,,,
Encode-Decode_Experiment-3-1,2371471,encoding,1.614844,0.304348,0.159826,0.089496,1.496415,0.173913,0.081043,0.062061,23,7,4,False,,,,,,32,32,1.0,0.351353,1.0,7735.0,5.0,1.0,6461.0,19.0,,,
Encode-Decode_Experiment-3-1,2356125,encoding,1.111384,0.384615,0.280769,0.093439,-0.108081,0.076923,0.083769,0.063343,26,10,2,False,,,,,,37,31,0.8378,0.278912,1.0,3202.0,6.0,0.0,8233.0,32.0,,,
Encode-Decode_Experiment-3-1,2387122,encoding,1.463204,0.681818,0.493682,0.128578,1.919942,0.318182,0.145409,0.089989,22,15,7,False,,,,,,41,41,1.0,0.118037,1.0,3643.0,7.0,1.0,5943.0,22.0,,,
Encode-Decode_Experiment-3-1,2369373,encoding,0.358287,0.538462,0.4985,0.111535,1.216223,0.269231,0.167308,0.083803,26,14,7,False,,,,,,40,34,0.85,0.249228,1.0,3456.0,8.0,1.0,3757.0,34.0,,,
Encode-Decode_Experiment-3-1,2394020,encoding,2.992126,0.85,0.469,0.127334,-0.912561,0.05,0.12915,0.086734,20,17,1,False,,,,,,31,28,0.9032,0.241137,1.0,2717.0,9.0,1.0,2682.0,30.0,,,
Encode-Decode_Experiment-3-1,2370664,encoding,2.33037,0.478261,0.242087,0.101346,-1.131153,0.086957,0.187087,0.088521,23,11,2,False,,,,,,38,36,0.9474,0.122624,1.0,3000.0,10.0,1.0,3536.0,53.0,,,
