SubjectID,StimID,kappa,pct_agreement,n,n_agree,tp,tn,fp,fn
Encode-Decode_Experiment-13-1,2385851,0.9175475687103594,0.9743589743589743,39,38,7,31,1,0
Encode-Decode_Experiment-13-1,2408717,1.0,1.0,36,36,6,30,0,0
Encode-Decode_Experiment-13-1,2411268,,1.0,40,40,0,40,0,0
Encode-Decode_Experiment-14-1,2344622,1.0,1.0,28,28,2,26,0,0
Encode-Decode_Experiment-14-1,2349475,1.0,1.0,45,45,8,37,0,0
Encode-Decode_Experiment-14-1,2350974,,1.0,38,38,0,38,0,0
Encode-Decode_Experiment-14-1,2379478,1.0,1.0,25,25,9,16,0,0
Encode-Decode_Experiment-14-1,2385550,0.9050279329608938,0.9705882352941176,34,33,6,27,0,1
Encode-Decode_Experiment-14-1,2385851,0.9433962264150942,0.9743589743589743,39,38,13,25,1,0
Encode-Decode_Experiment-14-1,2408717,1.0,1.0,36,36,9,27,0,0
Encode-Decode_Experiment-14-1,2411268,1.0,1.0,40,40,11,29,0,0
Encode-Decode_Experiment-15-1,2344622,0.9204545454545455,0.9642857142857143,28,27,9,18,0,1
Encode-Decode_Experiment-15-1,2349475,0.8920863309352519,0.9555555555555556,45,43,12,31,0,2
Encode-Decode_Experiment-15-1,2350974,1.0,1.0,38,38,9,29,0,0
Encode-Decode_Experiment-15-1,2379478,,1.0,25,25,0,25,0,0
Encode-Decode_Experiment-15-1,2385550,0.8716981132075472,0.9411764705882353,34,32,11,21,0,2
Encode-Decode_Experiment-15-1,2385851,0.8733766233766233,0.9487179487179487,39,37,10,27,1,1
Encode-Decode_Experiment-15-1,2408717,1.0,1.0,36,36,8,28,0,0
Encode-Decode_Experiment-15-1,2411268,1.0,1.0,40,40,16,24,0,0
Encode-Decode_Experiment-16-1,2344622,0.9278350515463918,0.9642857142857143,28,27,12,15,1,0
Encode-Decode_Experiment-16-1,2349475,1.0,1.0,45,45,14,31,0,0
Encode-Decode_Experiment-16-1,2350974,0.6415094339622639,0.9473684210526315,38,36,2,34,0,2
Encode-Decode_Experiment-16-1,2379478,1.0,1.0,25,25,11,14,0,0
Encode-Decode_Experiment-16-1,2385550,0.9311740890688259,0.9705882352941176,34,33,10,23,0,1
Encode-Decode_Experiment-16-1,2385851,1.0,1.0,39,39,14,25,0,0
Encode-Decode_Experiment-16-1,2408717,1.0,1.0,36,36,13,23,0,0
Encode-Decode_Experiment-16-1,2411268,,1.0,40,40,0,40,0,0
Encode-Decode_Experiment-2-1,150472,0.845901639344262,0.9787234042553191,47,46,3,43,1,0
Encode-Decode_Experiment-2-1,2344622,0.8260869565217392,0.9285714285714286,28,26,7,19,0,2
Encode-Decode_Experiment-2-1,2345035,0.9224011713030746,0.9811320754716981,53,52,7,45,0,1
Encode-Decode_Experiment-2-1,2347025,1.0,1.0,42,42,12,30,0,0
Encode-Decode_Experiment-2-1,2347400,0.9430894308943089,0.9761904761904762,42,41,12,29,1,0
Encode-Decode_Experiment-2-1,2348899,1.0,1.0,40,40,14,26,0,0
Encode-Decode_Experiment-2-1,2349475,1.0,1.0,45,45,11,34,0,0
Encode-Decode_Experiment-2-1,2350974,0.893854748603352,0.9736842105263158,38,37,5,32,0,1
Encode-Decode_Experiment-2-1,2356125,0.9430894308943089,0.9761904761904762,42,41,12,29,0,1
Encode-Decode_Experiment-2-1,2356991,1.0,1.0,42,42,4,38,0,0
Encode-Decode_Experiment-2-1,2360001,1.0,1.0,30,30,10,20,0,0
Encode-Decode_Experiment-2-1,2362704,1.0,1.0,23,23,8,15,0,0
Encode-Decode_Experiment-2-1,2367132,1.0,1.0,40,40,11,29,0,0
Encode-Decode_Experiment-2-1,2369373,,1.0,31,31,0,31,0,0
Encode-Decode_Experiment-2-1,2370664,0.9433384379785607,0.972972972972973,37,36,14,22,0,1
Encode-Decode_Experiment-2-1,2371471,,1.0,40,40,0,40,0,0
Encode-Decode_Experiment-2-1,2374670,0.8599348534201956,0.9534883720930233,43,41,8,33,0,2
Encode-Decode_Experiment-2-1,2379478,0.9110320284697508,0.96,25,24,8,16,0,1
Encode-Decode_Experiment-2-1,2385550,0.9311740890688259,0.9705882352941176,34,33,10,23,1,0
Encode-Decode_Experiment-2-1,2385851,1.0,1.0,39,39,7,32,0,0
Encode-Decode_Experiment-2-1,2386442,1.0,1.0,39,39,12,27,0,0
Encode-Decode_Experiment-2-1,2387122,0.8816120906801008,0.9574468085106383,47,45,10,35,0,2
Encode-Decode_Experiment-2-1,2394020,1.0,1.0,32,32,6,26,0,0
Encode-Decode_Experiment-2-1,2397102,1.0,1.0,44,44,16,28,0,0
Encode-Decode_Experiment-2-1,2408717,1.0,1.0,36,36,8,28,0,0
Encode-Decode_Experiment-2-1,2409918,1.0,1.0,34,34,6,28,0,0
Encode-Decode_Experiment-2-1,2410309,0.9466840052015604,0.975609756097561,41,40,14,26,0,1
Encode-Decode_Experiment-2-1,2411268,1.0,1.0,40,40,10,30,0,0
Encode-Decode_Experiment-2-1,2412687,1.0,1.0,37,37,9,28,0,0
Encode-Decode_Experiment-3-1,150472,1.0,1.0,47,47,2,45,0,0
Encode-Decode_Experiment-3-1,2344622,0.9204545454545455,0.9642857142857143,28,27,9,18,0,1
Encode-Decode_Experiment-3-1,2345035,0.7910643889618922,0.9433962264150944,53,50,7,43,0,3
Encode-Decode_Experiment-3-1,2347025,1.0,1.0,42,42,8,34,0,0
Encode-Decode_Experiment-3-1,2347400,0.8836565096952907,0.9523809523809523,42,40,11,29,0,2
Encode-Decode_Experiment-3-1,2348899,0.9253731343283581,0.975,40,39,8,31,0,1
Encode-Decode_Experiment-3-1,2349475,1.0,1.0,45,45,8,37,0,0
Encode-Decode_Experiment-3-1,2350974,1.0,1.0,38,38,7,31,0,0
Encode-Decode_Experiment-3-1,2356125,0.9430894308943089,0.9761904761904762,42,41,12,29,0,1
Encode-Decode_Experiment-3-1,2356991,1.0,1.0,42,42,3,39,0,0
Encode-Decode_Experiment-3-1,2360001,1.0,1.0,30,30,9,21,0,0
Encode-Decode_Experiment-3-1,2362704,1.0,1.0,23,23,7,16,0,0
Encode-Decode_Experiment-3-1,2367132,1.0,1.0,40,40,8,32,0,0
Encode-Decode_Experiment-3-1,2369373,1.0,1.0,31,31,6,25,0,0
Encode-Decode_Experiment-3-1,2370664,0.8537549407114625,0.9459459459459459,37,35,8,27,0,2
Encode-Decode_Experiment-3-1,2371471,1.0,1.0,40,40,2,38,0,0
Encode-Decode_Experiment-3-1,2374670,0.9406896551724137,0.9767441860465116,43,42,11,31,0,1
Encode-Decode_Experiment-3-1,2379478,0.9201277955271565,0.96,25,24,12,12,0,1
Encode-Decode_Experiment-3-1,2385550,0.927038626609442,0.9705882352941176,34,33,9,24,0,1
Encode-Decode_Experiment-3-1,2385851,1.0,1.0,39,39,11,28,0,0
Encode-Decode_Experiment-3-1,2386442,1.0,1.0,39,39,4,35,0,0
Encode-Decode_Experiment-3-1,2387122,0.8625730994152048,0.9574468085106383,47,45,8,37,1,1
Encode-Decode_Experiment-3-1,2394020,0.9036144578313253,0.96875,32,31,6,25,1,0
Encode-Decode_Experiment-3-1,2397102,1.0,1.0,44,44,10,34,0,0
Encode-Decode_Experiment-3-1,2408717,0.8399999999999999,0.9444444444444444,36,34,7,27,0,2
Encode-Decode_Experiment-3-1,2409918,0.9050279329608938,0.9705882352941176,34,33,6,27,0,1
Encode-Decode_Experiment-3-1,2410309,0.9258589511754067,0.975609756097561,41,40,8,32,0,1
Encode-Decode_Experiment-3-1,2411268,1.0,1.0,40,40,13,27,0,0
Encode-Decode_Experiment-3-1,2412687,,1.0,37,37,0,37,0,0
Encode-Decode_Experiment-4-1,150472,0.8097165991902837,0.9574468085106383,47,45,5,40,0,2
Encode-Decode_Experiment-4-1,2344622,0.845303867403315,0.9285714285714286,28,26,9,17,0,2
Encode-Decode_Experiment-4-1,2345035,0.9071803852889667,0.9622641509433962,53,51,14,37,0,2
Encode-Decode_Experiment-4-1,2347025,1.0,1.0,42,42,13,29,0,0
Encode-Decode_Experiment-4-1,2347400,1.0,1.0,42,42,16,26,0,0
Encode-Decode_Experiment-4-1,2348899,0.7974683544303798,0.9,40,36,15,21,0,4
Encode-Decode_Experiment-4-1,2349475,0.9547738693467336,0.9777777777777777,45,44,19,25,0,1
Encode-Decode_Experiment-4-1,2350974,0.8647686832740212,0.9473684210526315,38,36,9,27,0,2
Encode-Decode_Experiment-4-1,2356125,,1.0,42,42,0,42,0,0
Encode-Decode_Experiment-4-1,2356991,1.0,1.0,42,42,11,31,0,0
Encode-Decode_Experiment-4-1,2360001,,1.0,30,30,0,30,0,0
Encode-Decode_Experiment-4-1,2362704,1.0,1.0,23,23,9,14,0,0
Encode-Decode_Experiment-4-1,2367132,0.9459459459459459,0.975,40,39,14,25,1,0
Encode-Decode_Experiment-4-1,2369373,0.9355509355509355,0.967741935483871,31,30,15,15,1,0
Encode-Decode_Experiment-4-1,2370664,,1.0,37,37,0,37,0,0
Encode-Decode_Experiment-4-1,2371471,1.0,1.0,40,40,10,30,0,0
Encode-Decode_Experiment-4-1,2374670,0.946047678795483,0.9767441860465116,43,42,13,29,0,1
Encode-Decode_Experiment-4-1,2379478,,1.0,25,25,0,25,0,0
Encode-Decode_Experiment-4-1,2385550,1.0,1.0,34,34,12,22,0,0
Encode-Decode_Experiment-4-1,2385851,1.0,1.0,39,39,12,27,0,0
